Player,Position,Team,Total Value,Average Per Year,Total Guaranteed
Dak Prescott,QB,Cowboys,"$240,000,000","$60,000,000","$129,000,000"
Trevor Lawrence,QB,Jaguars,"$275,000,000","$55,000,000","$142,000,000"
Joe Burrow,QB,Bengals,"$275,000,000","$55,000,000","$146,510,000"
Jordan Love,QB,Packers,"$220,000,000","$55,000,000","$100,800,000"
Tua Tagovailoa,QB,Dolphins,"$212,400,000","$53,100,000","$93,171,000"
Jared Goff,QB,Lions,"$212,000,000","$53,000,000","$113,611,832"
Justin Herbert,QB,Chargers,"$262,500,000","$52,500,000","$133,738,375"
Lamar Jackson,QB,Ravens,"$260,000,000","$52,000,000","$135,000,000"
Jalen Hurts,QB,Eagles,"$255,000,000","$51,000,000","$110,000,000"
Kyler Murray,QB,Cardinals,"$230,500,000","$46,100,000","$103,300,000"
Deshaun Watson,QB,Browns,"$230,000,000","$46,000,000","$230,000,000"
Kirk Cousins,QB,Falcons,"$180,000,000","$45,000,000","$90,000,000"
Patrick Mahomes,QB,Chiefs,"$450,000,000","$45,000,000","$63,081,905"
Josh Allen,QB,Bills,"$258,000,000","$43,000,000","$100,000,000"
Matt Stafford,QB,Rams,"$160,000,000","$40,000,000","$63,000,000"
Derek Carr,QB,Saints,"$150,000,000","$37,500,000","$60,000,000"
Aaron Rodgers,QB,Jets,"$112,500,000","$37,500,000","$75,000,000"
Justin Jefferson,WR,Vikings,"$140,000,000","$35,000,000","$88,743,000"
CeeDee Lamb,WR,Cowboys,"$136,000,000","$34,000,000","$67,000,000"
Nick Bosa,EDGE,49ers,"$170,000,000","$34,000,000","$88,000,000"
Baker Mayfield,QB,Buccaneers,"$100,000,000","$33,333,333","$40,000,000"
A.J. Brown,WR,Eagles,"$96,000,000","$32,000,000","$51,000,000"
Chris Jones,IDL,Chiefs,"$158,750,000","$31,750,000","$60,000,000"
Amon-Ra St. Brown,WR,Lions,"$120,010,000","$30,002,500","$34,666,000"
Tyreek Hill,WR,Dolphins,"$90,000,000","$30,000,000","$54,000,000"
Brandon Aiyuk,WR,49ers,"$120,000,000","$30,000,000","$45,000,000"
Josh Hines-Allen,EDGE,Jaguars,"$141,250,000","$28,250,000","$76,500,000"
Jaylen Waddle,WR,Dolphins,"$84,750,000","$28,250,000","$35,978,546"
Brian Burns,EDGE,Giants,"$141,000,000","$28,200,000","$76,000,000"
Tristan Wirfs,RT,Buccaneers,"$140,625,000","$28,125,000","$52,244,000"
T.J. Watt,EDGE,Steelers,"$112,011,000","$28,002,750","$80,000,000"
Penei Sewell,RT,Lions,"$112,000,000","$28,000,000","$42,986,236"
Davante Adams,WR,Jets,"$140,000,000","$28,000,000","$22,750,000"
Trent Williams,LT,49ers,"$82,660,000","$27,553,333","$26,900,000"
Christian Wilkins,IDL,Raiders,"$110,000,000","$27,500,000","$57,500,000"
D.J. Moore,WR,Bears,"$110,000,000","$27,500,000","$43,650,000"
Cooper Kupp,WR,Rams,"$80,100,000","$26,700,000","$35,000,000"
Christian Darrisaw,LT,Vikings,"$104,000,000","$26,000,000","$43,725,000"
Myles Garrett,EDGE,Browns,"$125,000,000","$25,000,000","$50,000,000"
Geno Smith,QB,Seahawks,"$75,000,000","$25,000,000","$27,300,000"
Laremy Tunsil,LT,Texans,"$75,000,000","$25,000,000","$50,000,000"
DeVonta Smith,WR,Eagles,"$75,000,000","$25,000,000","$33,997,554"
Nnamdi Madubuike,IDL,Ravens,"$98,000,000","$24,500,000","$48,500,000"
Montez Sweat,EDGE,Bears,"$98,000,000","$24,500,000","$41,965,000"
Danielle Hunter,EDGE,Texans,"$49,000,000","$24,500,000","$48,000,000"
