Player,Age,Team,Position,Games_Played,Games_Started,Interceptions,Times_Targeted,Completions_When_Targeted,Completion_Percentage,Yards_Allowed,Yards_Per_Reception,Yards_Per_Target,Recieving_TD_Allowed,Passing_Rating_Allowed,Average_Depth_Of_Target,Total_Air_Yards,Total_YAC,Times_Blitzed,QB_Hurries,QB_Hits,Passes_Batted,Sacks,Pressures,Combined_Tackles,Missed_Tackles,Missed_Tackle_Percentage,Awards,season
Shaquille Leonard,23,IND,LLB,15,15,2,96,76,79.2,686,9.0,7.1,2,94.7,3.6,243,443,28,1,1,0,7.0,9,163,12,6.9,"AP-1,AP DRoY-1",2018
Blake Martinez,24,GNB,LILB,16,16,0,61,45,73.8,410,9.1,6.7,5,118.9,3.6,138,272,61,5,1,0,5.0,11,144,12,7.7,,2018
Leighton Vander Esch,21,DAL,RLB,16,11,2,90,72,80.0,602,8.4,6.7,3,96.4,4.0,233,369,15,1,1,0,0.0,2,140,10,6.7,"PB,AP-2",2018
Bobby Wagner,28,SEA,MLB,15,15,1,69,46,66.7,475,10.3,6.9,0,80.3,6.1,182,293,41,1,4,0,1.0,6,138,1,0.7,"PB,AP-1",2018
Anthony Hitchens,26,KAN,LILB,15,15,0,69,59,85.5,573,9.7,8.3,4,120.6,3.3,194,379,36,4,1,0,0.0,5,135,8,5.6,,2018
Telvin Smith,27,JAX,LLB,16,16,2,77,59,76.6,524,8.9,6.8,4,100.8,5.0,160,364,33,3,1,0,1.0,5,134,23,14.6,,2018
Mason Foster,29,WAS,RILB,16,16,2,77,59,76.6,502,8.5,6.5,1,86.6,3.6,96,406,77,5,0,0,1.0,5,131,12,8.4,,2018
Luke Kuechly,27,CAR,MLB,16,16,1,54,36,66.7,239,6.6,4.4,2,80.7,2.4,32,207,55,4,3,0,2.0,9,130,10,7.1,"PB,AP-1",2018
Tahir Whitehead,28,OAK,RLB,16,16,1,71,53,74.6,716,13.5,10.1,4,119.2,6.9,269,447,31,2,1,0,0.0,3,126,11,8.0,,2018
Kiko Alonso,28,MIA,LLB,15,15,3,69,45,65.2,518,11.5,7.5,5,93.7,6.0,241,277,50,1,3,0,0.0,4,125,12,8.8,,2018
Cory Littleton,25,LAR,LILB,16,16,3,64,47,73.4,536,11.4,8.4,3,94.3,7.1,255,281,58,4,0,0,4.0,8,125,10,7.4,"PB,AP-2",2018
Fred Warner,22,SFO,MLB,16,16,0,75,45,60.0,475,10.6,6.3,3,91.8,5.1,171,304,51,2,2,0,0.0,4,124,13,9.5,,2018
Antoine Bethea,34,ARI,FS,16,16,0,56,37,66.1,347,9.4,6.2,2,94.9,8.2,206,141,30,4,3,0,3.0,10,121,19,13.6,,2018
Tremaine Edmunds,20,BUF,MLB,15,15,2,93,73,78.5,634,8.7,6.8,2,93.3,3.9,222,412,37,4,5,0,2.0,11,121,24,16.6,,2018
Jaylon Smith,23,DAL,MLB,16,16,0,58,46,79.3,413,9.0,7.1,2,107.8,5.3,196,217,68,7,2,0,4.0,13,121,12,9.0,,2018
Roquan Smith,21,CHI,RILB,16,14,1,82,60,73.2,587,9.8,7.2,2,95.9,4.3,233,354,36,4,0,0,5.0,9,121,13,9.7,,2018
