Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Patrick Peterson,CB,25,"$14,791,491",10.32%,"($23,908,622)","$11,619,114","$3,072,377",-,-,-,"$100,000",-,-,table_active,2015
Calais Campbell,DE,29,"$14,750,000",10.29%,"($11,000,000)","$9,000,000","$3,000,000",-,-,"$2,500,000","$250,000",-,-,table_active,2015
Larry Fitzgerald,WR,32,"$10,850,000",7.57%,"($36,400,000)","$1,000,000","$4,500,000",-,-,"$3,000,000",-,"$2,350,000",-,table_active,2015
Jared Veldheer,RT,28,"$8,500,000",5.93%,"($17,000,000)","$6,750,000","$1,250,000",-,"$500,000",-,-,-,-,table_active,2015
Carson Palmer,QB,36,"$7,375,000",5.15%,"($20,500,000)","$1,000,000","$4,000,000",-,-,-,-,"$2,375,000",-,table_active,2015
Mike Iupati,G,28,"$6,700,000",4.68%,"($18,250,000)","$1,500,000","$1,200,000",-,"$4,000,000",-,-,-,-,table_active,2015
Jerraud Powers,CB,28,"$5,350,000",3.73%,"($1,000,000)","$4,350,000","$1,000,000",-,-,-,-,-,-,table_active,2015
Jonathan Cooper,G,25,"$3,967,910",2.77%,"($5,740,546)","$585,000","$2,240,273",-,"$1,142,637",-,-,-,-,table_active,2015
Drew Stanton,QB,31,"$3,866,668",2.70%,"($1,166,668)","$2,450,000","$666,668",-,"$500,000",-,"$250,000",-,-,table_active,2015
Sean Weatherspoon,ILB,28,"$3,850,000",2.69%,"($1,250,000)","$2,350,000","$1,250,000",-,-,-,"$250,000",-,-,table_active,2015
Michael Floyd,WR,26,"$3,172,750",2.21%,"($3,172,750)","$1,749,750","$1,423,000",-,-,-,-,-,-,table_active,2015
Jermaine Gresham,TE,27,"$3,109,375",2.17%,"($1,500,000)","$1,250,000","$1,000,000",-,"$234,375",-,-,-,"$625,000",table_active,2015
Corey Peters,DT,27,"$2,666,666",1.86%,"($4,000,000)","$1,000,000","$666,666",-,"$1,000,000",-,-,-,-,table_active,2015
Ted Larsen,G,28,"$2,435,000",1.70%,"($235,000)","$1,600,000","$235,000",-,"$75,000",-,"$25,000",-,"$500,000",table_active,2015
Frostee Rucker,DT,32,"$2,181,875",1.52%,"($572,500)","$1,100,000","$72,500",-,"$734,375",-,-,-,"$275,000",table_active,2015
Rashad Johnson,FS,29,"$2,133,334",1.49%,"($333,334)","$1,350,000","$333,334",-,"$300,000",-,"$150,000",-,-,table_active,2015
Lyle Sendlein,C,31,"$2,000,000",1.40%,"($500,000)","$1,000,000",-,-,"$400,000",-,-,-,"$600,000",table_active,2015
Deone Bucannon,ILB,23,"$1,752,091",1.22%,"($4,836,274)","$770,418","$981,673",-,-,-,-,-,-,table_active,2015
D.J. Humphries,LT,22,"$1,620,384",1.13%,"($7,261,824)","$435,000","$1,185,384",-,-,-,-,-,-,table_active,2015
