Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Matt Ryan,QB,30,"$19,500,000",13.61%,"($33,900,000)","$11,500,000","$5,600,000",-,-,"$2,400,000",-,-,-,table_active,2015
Julio Jones,WR,26,"$12,400,000",8.65%,"($35,500,000)","$2,500,000","$2,400,000",-,"$7,500,000",-,-,-,-,table_active,2015
Roddy White,WR,34,"$5,556,250",3.88%,"($5,662,500)","$2,200,000","$1,887,500",-,"$1,468,750",-,-,-,-,table_active,2015
Tyson Jackson,DE,29,"$3,850,000",2.69%,"($7,900,000)","$2,250,000","$1,600,000",-,-,-,-,-,-,table_active,2015
Jake Matthews,LT,23,"$3,733,978",2.61%,"($13,442,320)","$510,000","$2,567,182",-,"$656,796",-,-,-,-,table_active,2015
Devin Hester,WR,33,"$3,708,333",2.59%,"($2,166,667)","$2,875,000","$833,333",-,-,-,-,-,-,table_active,2015
Jonathan Babineaux,DT,34,"$3,619,791",2.53%,"($1,333,334)","$2,250,000","$666,666",-,"$703,125",-,-,-,-,table_active,2015
Matt Bosher,P,28,"$3,355,000",2.34%,"($4,855,000)","$1,105,000","$500,000",-,"$1,750,000",-,-,-,-,table_active,2015
Brooks Reed,DE,28,"$3,140,000",2.19%,"($6,900,000)","$2,200,000","$940,000",-,-,-,-,-,-,table_active,2015
Andy Levitre,G,29,"$2,875,000",2.01%,"($5,500,000)","$1,500,000",-,-,-,-,-,"$1,375,000",-,table_active,2015
Chris Chester,G,32,"$2,800,000",1.95%,"($550,000)","$1,550,000","$550,000",-,"$700,000",-,-,-,-,table_active,2015
Vic Beasley,DE,23,"$2,635,496",1.84%,"($14,495,228)","$435,000","$2,200,496",-,-,-,-,-,-,table_active,2015
Desmond Trufant,CB,25,"$2,227,117",1.55%,"($3,606,862)","$1,147,372","$1,079,745",-,-,-,-,-,-,table_active,2015
Justin Durant,OLB,30,"$2,210,416",1.54%,"($1,250,000)","$1,400,000","$416,666",-,"$393,750",-,-,-,-,table_active,2015
Adrian Clayborn,DE,27,"$2,062,500",1.44%,"($750,000)","$1,000,000","$750,000",-,"$312,500",-,-,-,-,table_active,2015
Kroy Biermann,OLB,30,"$1,925,000",1.34%,"($500,000)","$1,100,000","$500,000",-,"$325,000",-,-,-,-,table_active,2015
O'Brien Schofield,OLB,28,"$1,700,000",1.19%,"($255,000)","$745,000","$255,000",-,"$700,000",-,-,-,-,table_active,2015
Gino Gradkowski,C,27,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Jacob Tamme,TE,30,"$1,387,500",0.97%,"($400,000)","$1,000,000","$200,000",-,"$187,500",-,-,-,-,table_active,2015
Jake Long,LT,30,"$1,275,000",0.89%,-,"$1,100,000",-,-,"$175,000",-,-,-,-,table_active,2015
Ra'Shede Hageman,DE,25,"$1,212,691",0.85%,"($2,312,997)","$662,538","$550,153",-,-,-,-,-,-,table_active,2015
Eric Weems,WR,30,"$1,132,500",0.79%,"($425,000)","$870,000","$212,500",-,-,-,"$50,000",-,-,table_active,2015
Jalen Collins,CB,22,"$986,879",0.69%,"($2,889,236)","$435,000","$551,879",-,-,-,-,-,-,table_active,2015
Robert Alford,CB,27,"$927,654",0.65%,"($426,872)","$714,218","$213,436",-,-,-,-,-,-,table_active,2015
Michael Person,G,27,"$911,666",0.64%,"($500,000)","$745,000","$166,666",-,-,-,-,-,-,table_active,2015
Josh Harris,LS,26,"$760,000",0.53%,"($400,000)","$660,000","$100,000",-,-,-,-,-,-,table_active,2015
Patrick DiMarco,FB,26,"$697,500",0.49%,"($75,000)","$660,000","$37,500",-,-,-,-,-,-,table_active,2015
Malliciah Goodman,DE,25,"$684,272",0.48%,"($198,544)","$585,000","$99,272",-,-,-,-,-,-,table_active,2015
Levine Toilolo,TE,24,"$660,146",0.46%,"($150,292)","$585,000","$75,146",-,-,-,-,-,-,table_active,2015
Bryce Harris,RT,26,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Devonta Freeman,RB,23,"$631,106",0.44%,"($363,318)","$510,000","$121,106",-,-,-,-,-,-,table_active,2015
Tevin Coleman,RB,22,"$621,311",0.43%,"($745,244)","$435,000","$186,311",-,-,-,-,-,-,table_active,2015
Kemal Ishmael,SS,24,"$596,474",0.42%,"($22,948)","$585,000","$11,474",-,-,-,-,-,-,table_active,2015
Sean Renfree,QB,25,"$596,474",0.42%,"($22,948)","$585,000","$11,474",-,-,-,-,-,-,table_active,2015
Ryan Schraeder,RT,27,"$585,668",0.41%,($668),"$585,000",$668,-,-,-,-,-,-,table_active,2015
Paul Worrilow,OLB,25,"$585,668",0.41%,($668),"$585,000",$668,-,-,-,-,-,-,table_active,2015
Phillip Adams,CB,27,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Nathan Stupar,OLB,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Justin Hardy,WR,24,"$570,205",0.40%,"($540,821)","$435,000","$135,205",-,-,-,-,-,-,table_active,2015
Nick Williams,WR,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Grady Jarrett,DT,22,"$496,963",0.35%,"($247,853)","$435,000","$61,963",-,-,-,-,-,-,table_active,2015
Tony Moeaki,TE,28,"$447,352",0.31%,-,"$569,705",-,-,-,-,-,-,-,table_active,2015
Terron Ward,RB,23,"$435,333",0.30%,"($1,000)","$435,000",$333,-,-,-,-,-,-,table_active,2015
Ricardo Allen,SS,24,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Robenson Therezie,FS,23,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Philip Wheeler,OLB,31,"$378,529",0.26%,-,"$562,941",-,-,-,-,-,-,-,table_active,2015
Charles Godfrey,SS,30,"$344,117",0.24%,-,"$511,764",-,-,-,-,-,-,-,table_active,2015
Akeem King,SS,23,"$230,294",0.16%,-,"$230,294",-,-,-,-,-,-,-,table_active,2015
Shayne Graham,K,38,"$206,470",0.14%,-,"$342,352",-,-,-,-,-,-,-,table_active,2015
Joey Mbu,DT,22,"$102,353",0.07%,-,"$102,353",-,-,-,-,-,-,-,table_active,2015
Ben Garland,G,27,"$90,000",0.06%,-,"$90,000",-,-,-,-,-,-,-,table_active,2015
Tyler Starr,OLB,24,"$90,000",0.06%,-,"$90,000",-,-,-,-,-,-,-,table_active,2015
D.J. Tialavea,TE,24,"$25,588",0.02%,-,"$25,588",-,-,-,-,-,-,-,table_active,2015
William Moore,SS,30,"$5,368,750",3.75%,"($4,950,000)","$3,500,000","$1,650,000",-,"$218,750",-,-,-,-,table_injured,2015
Paul Soliai,DT,32,"$4,400,000",3.07%,"($8,600,000)","$3,000,000","$1,400,000",-,-,-,-,-,-,table_injured,2015
Matt Bryant,K,40,"$2,827,083",1.97%,"($1,000,000)","$1,350,000","$333,333",-,"$1,143,750",-,-,-,-,table_injured,2015
James Stone,C,23,"$480,097",0.34%,"($2,667)","$478,764","$1,333",-,-,-,-,-,-,table_injured,2015
Collin Mooney,FB,29,"$333,000",0.23%,-,"$333,000",-,-,-,-,-,-,-,table_injured,2015
Beau Gardner,TE,26,"$319,000",0.22%,-,"$318,000","$1,000",-,-,-,-,-,-,table_injured,2015
Travis Howard,CB,26,"$318,000",0.22%,-,"$318,000",-,-,-,-,-,-,-,table_injured,2015
Jon Asamoah,G,,"$4,268,750",2.98%,,,,,,,,,,table_dead,2015
Justin Blalock,G,,"$4,120,000",2.88%,,,,,,,,,,table_dead,2015
Sam Baker,LT,,"$2,800,000",1.95%,,,,,,,,,,table_dead,2015
Thomas DeCoud,S,,"$1,200,000",0.84%,,,,,,,,,,table_dead,2015
Steven Jackson,RB,,"$1,166,668",0.81%,,,,,,,,,,table_dead,2015
Joe Hawley,C,,"$1,000,000",0.70%,,,,,,,,,,table_dead,2015
Harry Douglas,WR,,"$895,834",0.63%,,,,,,,,,,table_dead,2015
Charles Godfrey,SS,,"$875,000",0.61%,,,,,,,,,,table_dead,2015
Leonard Hankerson,WR,,"$868,529",0.61%,,,,,,,,,,table_dead,2015
Tyler Polumbus,LT,,"$585,000",0.41%,,,,,,,,,,table_dead,2015
Peter Konz,C,,"$572,833",0.40%,,,,,,,,,,table_dead,2015
Dezmen Southward,CB,,"$438,432",0.31%,,,,,,,,,,table_dead,2015
Antone Smith,RB,,"$411,765",0.29%,,,,,,,,,,table_dead,2015
Joplo Bartu,OLB,,"$380,197",0.27%,,,,,,,,,,table_dead,2015
T.J. Yates,QB,,"$375,000",0.26%,,,,,,,,,,table_dead,2015
Allen Bradford,ILB,,"$271,764",0.19%,,,,,,,,,,table_dead,2015
Ricky Havili-Heimuli,DT,,"$243,176",0.17%,,,,,,,,,,table_dead,2015
Prince Shembo,ILB,,"$225,438",0.16%,,,,,,,,,,table_dead,2015
Ricardo Allen,SS,,"$150,375",0.11%,,,,,,,,,,table_dead,2015
Matt Simms,QB,,"$112,200",0.08%,,,,,,,,,,table_dead,2015
Charles Godfrey,SS,,"$102,352",0.07%,,,,,,,,,,table_dead,2015
Ben Garland,G,,"$92,400",0.06%,,,,,,,,,,table_dead,2015
Tyler Starr,OLB,,"$92,400",0.06%,,,,,,,,,,table_dead,2015
Stansly Maponga,DE,,"$85,800",0.06%,,,,,,,,,,table_dead,2015
Joey Mbu,DT,,"$85,800",0.06%,,,,,,,,,,table_dead,2015
Marcel Jensen,TE,,"$72,600",0.05%,,,,,,,,,,table_dead,2015
Evan Royster,RB,,"$68,471",0.05%,,,,,,,,,,table_dead,2015
Gus Johnson,RB,,"$66,000",0.05%,,,,,,,,,,table_dead,2015
C.J. Goodwin,S,,"$59,400",0.04%,,,,,,,,,,table_dead,2015
Akeem King,SS,,"$52,800",0.04%,,,,,,,,,,table_dead,2015
Stansly Maponga,DE,,"$46,685",0.03%,,,,,,,,,,table_dead,2015
Dere Akunne,OLB,,"$46,200",0.03%,,,,,,,,,,table_dead,2015
Laron Byrd,WR,,"$46,200",0.03%,,,,,,,,,,table_dead,2015
Jahwan Edwards,RB,,"$46,200",0.03%,,,,,,,,,,table_dead,2015
