Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Lardarius Webb,CB,30,"$9,250,000",6.46%,"($15,250,000)","$2,250,000","$2,000,000",-,"$3,000,000","$1,000,000",-,"$1,000,000",-,table_active,2015
Elvis Dumervil,OLB,31,"$7,375,000",5.15%,"($7,125,000)","$5,000,000","$1,500,000",-,-,"$875,000",-,-,-,table_active,2015
Marshal Yanda,G,31,"$6,981,764",4.87%,"($20,367,646)","$2,231,764","$3,800,000",-,-,-,-,"$950,000",-,table_active,2015
Daryl Smith,ILB,33,"$3,875,000",2.70%,"($2,625,000)","$3,000,000","$875,000",-,-,-,-,-,-,table_active,2015
Jimmy Smith,CB,27,"$3,600,000",2.51%,"($21,000,000)","$1,000,000","$2,600,000",-,-,-,-,-,-,table_active,2015
Will Hill,SS,25,"$2,416,045",1.69%,"($5,160,000)","$660,000","$1,750,000",-,-,-,"$6,045",-,-,table_active,2015
Sam Koch,P,33,"$2,400,000",1.68%,"($5,600,000)","$1,000,000","$1,400,000",-,-,-,-,-,-,table_active,2015
Justin Tucker,K,26,"$2,356,000",1.64%,-,"$2,356,000",-,-,-,-,-,-,-,table_active,2015
Matt Schaub,QB,34,"$2,000,000",1.40%,"($2,000,000)","$1,000,000","$1,000,000",-,-,-,-,-,-,table_active,2015
C.J. Mosley,ILB,23,"$1,997,273",1.39%,"($7,190,184)","$819,455","$1,177,818",-,-,-,-,-,-,table_active,2015
Courtney Upshaw,DT,26,"$1,685,313",1.18%,"($573,036)","$1,112,277","$573,036",-,-,-,-,-,-,table_active,2015
Kyle Arrington,CB,29,"$1,466,666",1.02%,"($2,800,000)","$800,000","$666,666",-,-,-,-,-,-,table_active,2015
Kendrick Lewis,FS,29,"$1,266,666",0.88%,"($1,400,000)","$800,000","$466,666",-,-,-,-,-,-,table_active,2015
Albert McClellan,OLB,29,"$1,200,000",0.84%,"($200,000)","$1,000,000","$200,000",-,-,-,-,-,-,table_active,2015
Kelechi Osemele,G,26,"$1,064,595",0.74%,"($218,340)","$846,255","$218,340",-,-,-,-,-,-,table_active,2015
Lawrence Guy,DE,25,"$1,050,000",0.73%,"($500,000)","$800,000","$250,000",-,-,-,-,-,-,table_active,2015
Anthony Levine,ILB,28,"$1,000,000",0.70%,"($400,000)","$800,000","$200,000",-,-,-,-,-,-,table_active,2015
Timmy Jernigan,DT,23,"$996,114",0.70%,"($1,749,896)","$619,223","$376,891",-,-,-,-,-,-,table_active,2015
Arthur Brown,ILB,25,"$969,335",0.68%,"($482,448)","$728,111","$241,224",-,-,-,-,-,-,table_active,2015
Maxx Williams,TE,21,"$736,861",0.51%,"($1,826,662)","$435,000","$301,861",-,-,-,-,-,-,table_active,2015
Brandon Williams,DT,26,"$713,750",0.50%,"($257,500)","$585,000","$128,750",-,-,-,-,-,-,table_active,2015
Terrence Brooks,FS,23,"$676,594",0.47%,"($454,782)","$525,000","$151,594",-,-,-,-,-,-,table_active,2015
Morgan Cox,LS,29,"$665,000",0.46%,"($80,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Kyle Juszczyk,FB,24,"$660,146",0.46%,"($150,292)","$585,000","$75,146",-,-,-,-,-,-,table_active,2015
Shareece Wright,CB,28,"$635,294",0.44%,-,"$635,294",-,-,-,-,-,-,-,table_active,2015
Ricky Wagner,RT,26,"$621,140",0.43%,"($72,280)","$585,000","$36,140",-,-,-,-,-,-,table_active,2015
Kapron Lewis-Moore,DE,25,"$607,058",0.42%,"($44,116)","$585,000","$22,058",-,-,-,-,-,-,table_active,2015
Carl Davis,DT,23,"$591,271",0.41%,"($625,084)","$435,000","$156,271",-,-,-,-,-,-,table_active,2015
Kamar Aiken,WR,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Brynden Trawick,SS,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Za'Darius Smith,OLB,23,"$555,788",0.39%,"($483,152)","$435,000","$120,788",-,-,-,-,-,-,table_active,2015
John Urschel,G,24,"$546,140",0.38%,"($108,420)","$510,000","$36,140",-,-,-,-,-,-,table_active,2015
James Hurst,RT,24,"$513,000",0.36%,"($6,000)","$510,000","$3,000",-,-,-,-,-,-,table_active,2015
Zach Orr,ILB,23,"$511,000",0.36%,"($2,000)","$510,000","$1,000",-,-,-,-,-,-,table_active,2015
Brent Urban,DE,24,"$510,146",0.36%,"($225,438)","$435,000","$75,146",-,-,-,-,-,-,table_active,2015
Ryan Jensen,C,24,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Jeremy Butler,WR,24,"$300,000",0.21%,-,"$300,000",-,-,-,-,-,-,-,table_active,2015
Jimmy Clausen,QB,28,"$262,941",0.18%,-,"$262,941",-,-,-,-,-,-,-,table_active,2015
De'Ondre Wesley,G,23,"$255,882",0.18%,-,"$255,882",-,-,-,-,-,-,-,table_active,2015
Terrance West,RB,24,"$210,000",0.15%,-,"$210,000",-,-,-,-,-,-,-,table_active,2015
Kaelin Clay,WR,23,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
Daniel Brown,TE,23,"$153,529",0.11%,-,"$153,529",-,-,-,-,-,-,-,table_active,2015
Richard Gordon,TE,28,"$137,647",0.10%,-,"$175,294",-,-,-,-,-,-,-,table_active,2015
Konrad Reuland,TE,28,"$137,647",0.10%,-,"$137,647",-,-,-,-,-,-,-,table_active,2015
Ryan Mallett,QB,27,"$131,470",0.09%,-,"$131,470",-,-,-,-,-,-,-,table_active,2015
Chris Givens,WR,26,"$124,257",0.09%,-,"$1,179,176",-,-,-,-,-,-,-,table_active,2015
Chris Matthews,WR,26,"$120,000",0.08%,-,"$120,000",-,-,-,-,-,-,-,table_active,2015
Jumal Rolle,CB,25,"$90,000",0.06%,-,"$90,000",-,-,-,-,-,-,-,table_active,2015
Chris Carter,ILB,26,"$87,647",0.06%,-,"$87,647",-,-,-,-,-,-,-,table_active,2015
Terrence Magee,RT,22,"$76,764",0.05%,-,"$76,764",-,-,-,-,-,-,-,table_active,2015
Jermaine Whitehead,FS,22,"$51,176",0.04%,-,"$51,176",-,-,-,-,-,-,-,table_active,2015
Sheldon Price,CB,24,"$30,000",0.02%,-,"$30,000",-,-,-,-,-,-,-,table_active,2015
Joe Flacco,QB,30,"$14,550,000",10.15%,"($36,400,000)","$4,000,000","$5,800,000",-,-,"$4,750,000",-,-,-,table_injured,2015
Eugene Monroe,LT,28,"$7,700,000",5.37%,"($14,300,000)","$5,500,000","$2,200,000",-,-,-,-,-,-,table_injured,2015
Dennis Pitta,TE,30,"$6,200,000",4.33%,"($12,800,000)","$4,000,000","$2,200,000",-,-,-,-,-,-,table_injured,2015
Steve Smith,WR,36,"$4,166,666",2.91%,"($2,333,336)","$3,000,000","$1,166,666",-,-,-,-,-,-,table_injured,2015
Terrell Suggs,OLB,33,"$3,950,000",2.76%,"($12,800,000)","$1,000,000","$2,200,000",-,-,-,-,"$750,000",-,table_injured,2015
Jeremy Zuttah,C,29,"$2,478,382",1.73%,"($4,800,000)","$1,371,176","$700,000",-,-,-,-,"$407,206",-,table_injured,2015
Matt Elam,SS,24,"$1,845,546",1.29%,"($2,670,910)","$1,020,182","$825,364",-,-,-,-,-,-,table_injured,2015
Chris Canty,DE,33,"$1,735,000",1.21%,"($1,530,000)","$970,000","$765,000",-,-,-,-,-,-,table_injured,2015
Justin Forsett,RB,30,"$1,600,000",1.12%,"($3,000,000)","$900,000","$700,000",-,-,-,-,-,-,table_injured,2015
Breshad Perriman,WR,22,"$1,534,607",1.07%,"($7,083,227)","$386,823","$1,147,784",-,-,-,-,-,-,table_injured,2015
Crockett Gillmore,T,24,"$615,680",0.43%,"($379,512)","$489,176","$126,504",-,-,-,-,-,-,table_injured,2015
Marlon Brown,WR,24,"$572,726",0.40%,"($1,668)","$571,058","$1,668",-,-,-,-,-,-,table_injured,2015
Will Davis,CB,25,"$522,794",0.36%,-,"$522,794",-,-,-,-,-,-,-,table_injured,2015
Lorenzo Taliaferro,RB,24,"$460,204",0.32%,"($225,438)","$385,058","$75,146",-,-,-,-,-,-,table_injured,2015
Darren Waller,TE,23,"$392,359",0.27%,"($104,732)","$366,176","$26,183",-,-,-,-,-,-,table_injured,2015
Michael Campanaro,WR,24,"$391,522",0.27%,"($50,625)","$374,647","$16,875",-,-,-,-,-,-,table_injured,2015
Allen Reisner,TE,27,"$333,000",0.23%,-,"$333,000",-,-,-,-,-,-,-,table_injured,2015
Julian Wilson,CB,24,"$321,000",0.22%,"($9,000)","$318,000","$3,000",-,-,-,-,-,-,table_injured,2015
