Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Mario Williams,DE,30,"$19,400,000",13.54%,"($13,900,000)","$12,100,000","$3,800,000",-,"$1,000,000","$1,600,000","$500,000",-,"$400,000",table_active,2015
Marcell Dareus,DT,26,"$7,823,530",5.46%,"($42,900,000)","$2,823,530","$5,000,000",-,-,-,-,-,-,table_active,2015
Eric Wood,C,29,"$6,650,000",4.64%,"($6,950,000)","$4,700,000","$1,800,000",-,-,-,"$150,000",-,-,table_active,2015
Jerry Hughes,DE,27,"$6,175,000",4.31%,"($17,775,000)","$4,625,000","$1,400,000",-,-,-,"$150,000",-,-,table_active,2015
LeSean McCoy,RB,27,"$5,500,000",3.84%,"($18,500,000)","$2,625,000","$2,625,000",-,-,-,"$250,000",-,-,table_active,2015
Leodis McKelvin,CB,30,"$4,900,000",3.42%,"($2,800,000)","$3,100,000","$1,000,000",-,"$750,000",-,"$50,000",-,-,table_active,2015
Sammy Watkins,WR,22,"$4,530,819",3.16%,"($16,310,948)","$1,326,164","$3,204,655",-,-,-,-,-,-,table_active,2015
Corey Graham,FS,30,"$4,450,000",3.11%,"($3,550,000)","$2,750,000","$1,000,000",-,"$500,000",-,"$50,000",-,"$150,000",table_active,2015
Manny Lawson,OLB,31,"$3,100,000",2.16%,"($1,500,000)","$1,800,000","$750,000",-,"$500,000",-,"$50,000",-,-,table_active,2015
E.J. Manuel,QB,25,"$2,423,264",1.69%,"($5,250,405)","$1,212,755","$1,210,509",-,-,-,-,-,-,table_active,2015
Dan Carpenter,K,30,"$2,362,500",1.65%,"($2,137,500)","$1,300,000","$537,500",-,"$500,000",-,"$25,000",-,-,table_active,2015
Kraig Urbik,G,30,"$2,200,000",1.54%,"($1,825,000)","$1,075,000","$850,000",-,"$150,000",-,"$125,000",-,-,table_active,2015
Jerome Felton,FB,29,"$1,750,000",1.22%,"($3,700,000)","$1,000,000","$650,000",-,-,-,"$100,000",-,-,table_active,2015
Nigel Bradham,OLB,26,"$1,656,356",1.16%,"($114,356)","$1,542,000","$114,356",-,-,-,-,-,-,table_active,2015
Cordy Glenn,LT,26,"$1,548,012",1.08%,"($544,578)","$1,003,434","$494,578",-,-,-,"$50,000",-,-,table_active,2015
Anthony Dixon,RB,28,"$1,266,666",0.88%,"($383,334)","$850,000","$166,666",-,"$100,000",-,"$50,000",-,"$100,000",table_active,2015
Richie Incognito,G,32,"$1,100,000",0.77%,"($200,000)","$900,000","$100,000",-,-,-,"$100,000",-,-,table_active,2015
Cyrus Kouandjio,RT,22,"$1,092,914",0.76%,"($2,001,576)","$588,583","$454,331",-,-,-,"$50,000",-,-,table_active,2015
Garrison Sanborn,LS,30,"$1,047,500",0.73%,"($412,500)","$910,000","$137,500",-,-,-,-,-,-,table_active,2015
Nickell Robey-Coleman,CB,23,"$1,020,667",0.71%,"($1,302,334)","$585,000","$435,667",-,-,-,-,-,-,table_active,2015
Tyrod Taylor,QB,26,"$883,333",0.62%,"($1,150,000)","$750,000","$133,333",-,-,-,-,-,-,table_active,2015
Ronald Darby,CB,21,"$830,853",0.58%,"($2,176,125)","$435,000","$395,853",-,-,-,-,-,-,table_active,2015
Duke Williams,FS,25,"$702,563",0.49%,"($235,126)","$585,000","$117,563",-,-,-,-,-,-,table_active,2015
Preston Brown,ILB,23,"$702,000",0.49%,"($516,000)","$510,000","$162,000",-,-,-,"$30,000",-,-,table_active,2015
John Miller,G,22,"$605,030",0.42%,"($680,120)","$435,000","$170,030",-,-,-,-,-,-,table_active,2015
Chris Gragg,TE,25,"$599,793",0.42%,"($29,587)","$585,000","$14,793",-,-,-,-,-,-,table_active,2015
Corbin Bryant,DT,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Mario Butler,CB,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Stefan Charles,DT,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Chris Hogan,WR,28,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Bacarri Rambo,SS,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Colton Schmidt,P,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Karlos Williams,RB,22,"$488,838",0.34%,"($215,352)","$435,000","$53,838",-,-,-,-,-,-,table_active,2015
Jonathan Meeks,FS,26,"$450,000",0.31%,-,"$450,000",-,-,-,-,-,-,-,table_active,2015
Jordan Mills,RT,25,"$427,058",0.30%,-,"$427,058",-,-,-,-,-,-,-,table_active,2015
Josh Johnson,QB,29,"$412,941",0.29%,-,"$525,882",-,-,-,-,-,-,-,table_active,2015
IK Enemkpali,OLB,24,"$390,000",0.27%,-,"$390,000",-,-,-,-,-,-,-,table_active,2015
Jordan Gay,K,25,"$330,000",0.23%,-,"$330,000",-,-,-,-,-,-,-,table_active,2015
Ryan Groy,G,25,"$180,000",0.13%,-,"$180,000",-,-,-,-,-,-,-,table_active,2015
Lavar Edwards,DE,25,"$172,058",0.12%,-,"$172,058",-,-,-,-,-,-,-,table_active,2015
