Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Charles Johnson,DE,29,"$20,020,000",13.97%,"($14,290,000)","$9,750,000","$6,000,000",-,-,-,"$250,000","$4,020,000",-,table_active,2015
Cam Newton,QB,26,"$13,000,000",9.07%,"($41,000,000)","$1,000,000","$4,500,000",-,"$7,500,000",-,-,-,-,table_active,2015
Ryan Kalil,C,30,"$11,795,000",8.23%,"($12,362,000)","$5,366,000","$3,600,000",-,-,"$800,000","$250,000","$1,779,000",-,table_active,2015
Jonathan Stewart,RB,28,"$8,300,000",5.79%,"($13,850,000)","$4,250,000","$1,800,000",-,-,"$1,357,000","$250,000","$643,000",-,table_active,2015
Thomas Davis,OLB,32,"$7,650,000",5.34%,"($14,650,000)","$1,000,000","$4,400,000",-,-,-,"$250,000","$2,000,000",-,table_active,2015
Luke Kuechly,ILB,24,"$6,697,018",4.67%,"($28,897,018)","$1,000,000","$5,697,018",-,-,-,-,-,-,table_active,2015
Greg Olsen,TE,30,"$6,300,000",4.40%,"($15,600,000)","$900,000","$3,500,000",-,-,"$625,000","$100,000","$1,175,000",-,table_active,2015
Mike Tolbert,FB,30,"$3,425,000",2.39%,"($1,025,000)","$2,400,000","$500,000",-,-,"$500,000","$25,000",-,-,table_active,2015
Graham Gano,K,28,"$3,100,000",2.16%,"($2,300,000)","$2,300,000","$750,000",-,-,-,"$50,000",-,-,table_active,2015
Star Lotulelei,DT,26,"$2,619,409",1.83%,"($5,675,386)","$1,278,136","$1,341,273",-,-,-,-,-,-,table_active,2015
Michael Oher,RT,29,"$2,421,875",1.69%,"($2,650,000)","$850,000","$1,250,000",-,"$171,875",-,"$150,000",-,-,table_active,2015
Jerricho Cotchery,WR,33,"$1,950,000",1.36%,"($1,850,000)","$1,450,000","$450,000",-,-,-,"$50,000",-,-,table_active,2015
Ted Ginn Jr.,WR,30,"$1,850,000",1.29%,"($1,800,000)","$900,000","$850,000",-,-,-,"$100,000",-,-,table_active,2015
Roman Harper,SS,33,"$1,800,000",1.26%,"($1,250,000)","$1,200,000","$300,000",-,"$250,000",-,"$50,000",-,-,table_active,2015
Derek Anderson,QB,32,"$1,764,000",1.23%,"($1,725,000)","$975,000","$700,000",-,"$64,000",-,"$25,000",-,-,table_active,2015
Dwan Edwards,DT,34,"$1,750,000",1.22%,"($1,050,000)","$1,000,000","$500,000",-,"$200,000",-,"$50,000",-,-,table_active,2015
Shaq Thompson,OLB,21,"$1,601,586",1.12%,"($7,172,534)","$435,000","$1,166,586",-,-,-,-,-,-,table_active,2015
Josh Norman,CB,28,"$1,591,750",1.11%,"($49,750)","$1,542,000","$49,750",-,-,-,-,-,-,table_active,2015
Ed Dickson,TE,28,"$1,516,666",1.06%,"($2,100,000)","$750,000","$666,666",-,-,-,"$100,000",-,-,table_active,2015
Kurt Coleman,FS,27,"$1,340,625",0.94%,"($650,000)","$750,000","$300,000",-,"$140,625",-,"$50,000",-,"$100,000",table_active,2015
Kawann Short,DT,26,"$1,262,754",0.88%,"($873,758)","$825,875","$436,879",-,-,-,-,-,-,table_active,2015
Mario Addison,DE,28,"$1,020,000",0.71%,"($490,000)","$750,000","$220,000",-,-,-,"$50,000",-,-,table_active,2015
Devin Funchess,WR,21,"$1,003,797",0.70%,"($2,961,140)","$435,000","$568,797",-,-,-,-,-,-,table_active,2015
J.J. Jansen,LS,29,"$995,000",0.69%,"($150,000)","$845,000","$125,000",-,-,-,"$25,000",-,-,table_active,2015
Colin Jones,FS,28,"$870,000",0.61%,"($225,000)","$745,000","$100,000",-,-,-,"$25,000",-,-,table_active,2015
Jared Allen,DE,33,"$823,529",0.57%,"($823,529)","$823,529",-,-,-,-,-,-,-,table_active,2015
Kony Ealy,DE,24,"$806,098",0.56%,"($1,024,634)","$581,220","$224,878",-,-,-,-,-,-,table_active,2015
Teddy Williams,CB,27,"$790,000",0.55%,"($240,000)","$660,000","$110,000",-,-,-,"$20,000",-,-,table_active,2015
Kyle Love,DT,29,"$745,000",0.52%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Brad Nortman,P,26,"$679,670",0.47%,"($19,670)","$660,000","$19,670",-,-,-,-,-,-,table_active,2015
Chris Scott,G,28,"$665,000",0.46%,"($80,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Joe Webb,QB,29,"$665,000",0.46%,"($80,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Trai Turner,G,22,"$644,950",0.45%,"($404,850)","$510,000","$134,950",-,-,-,-,-,-,table_active,2015
Fozzy Whittaker,RB,26,"$635,000",0.44%,"($75,000)","$585,000","$25,000",-,-,-,"$25,000",-,-,table_active,2015
A.J. Klein,ILB,24,"$632,825",0.44%,"($95,650)","$585,000","$47,825",-,-,-,-,-,-,table_active,2015
Tre Boston,FS,23,"$611,367",0.43%,"($304,101)","$510,000","$101,367",-,-,-,-,-,-,table_active,2015
Brenton Bersin,WR,25,"$600,000",0.42%,-,"$600,000",-,-,-,-,-,-,-,table_active,2015
Ben Jacobs,ILB,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Mike Remmers,RT,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Daryl Williams,RT,23,"$574,280",0.40%,"($557,120)","$435,000","$139,280",-,-,-,-,-,-,table_active,2015
Fernando Velasco,G,30,"$550,588",0.38%,-,"$701,176",-,-,-,-,-,-,-,table_active,2015
Corey Brown,WR,24,"$515,000",0.36%,"($10,000)","$510,000","$5,000",-,-,-,-,-,-,table_active,2015
Andrew Norwell,G,24,"$514,000",0.36%,"($8,000)","$510,000","$4,000",-,-,-,-,-,-,table_active,2015
Kevin Norwood,WR,26,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Cameron Artis-Payne,RB,25,"$476,563",0.33%,"($166,254)","$435,000","$41,563",-,-,-,-,-,-,table_active,2015
David Mayo,OLB,22,"$476,563",0.33%,"($166,254)","$435,000","$41,563",-,-,-,-,-,-,table_active,2015
Dean Marlowe,SS,23,"$440,000",0.31%,"($15,000)","$435,000","$5,000",-,-,-,-,-,-,table_active,2015
