Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Jay Cutler,QB,32,"$16,500,000",11.52%,"($29,500,000)","$15,500,000",-,-,-,-,-,"$1,000,000",-,table_active,2015
Matt Forte,RB,30,"$9,200,000",6.42%,"($1,100,000)","$7,050,000","$1,000,000",-,"$1,050,000",-,"$100,000",-,-,table_active,2015
Jermon Bushrod,G,31,"$8,050,000",5.62%,"($7,700,000)","$5,750,000","$2,200,000",-,-,-,"$100,000",-,-,table_active,2015
Lamarr Houston,OLB,28,"$6,990,000",4.88%,"($9,960,000)","$5,950,000","$990,000",-,-,-,"$50,000",-,-,table_active,2015
Pernell McPhee,OLB,27,"$6,675,000",4.66%,"($8,675,000)","$1,000,000","$500,000",-,"$5,000,000",-,"$175,000",-,-,table_active,2015
Eddie Royal,WR,29,"$5,500,000",3.84%,"($10,000,000)","$1,500,000",-,-,"$4,000,000",-,-,-,-,table_active,2015
Robbie Gould,K,33,"$3,600,000",2.51%,"($4,800,000)","$2,900,000","$600,000",-,-,-,"$100,000",-,-,table_active,2015
Matt Slauson,G,29,"$3,267,500",2.28%,"($1,352,000)","$2,750,000","$417,500",-,-,-,"$100,000",-,-,table_active,2015
Willie Young,OLB,30,"$3,166,666",2.21%,"($1,383,334)","$2,450,000","$666,666",-,-,-,"$50,000",-,-,table_active,2015
Alan Ball,CB,30,"$3,000,000",2.09%,"($1,050,000)","$1,950,000","$1,000,000",-,-,-,"$50,000",-,-,table_active,2015
Shea McClellin,OLB,26,"$2,629,263",1.84%,"($1,888,036)","$775,600","$1,112,436",-,"$741,227",-,-,-,-,table_active,2015
Kyle Long,G,27,"$2,263,896",1.58%,"($4,145,318)","$1,159,632","$1,104,264",-,-,-,-,-,-,table_active,2015
Kyle Fuller,CB,23,"$2,201,591",1.54%,"($7,925,729)","$860,318","$1,341,273",-,-,-,-,-,-,table_active,2015
Jarvis Jenkins,DE,27,"$825,000",0.58%,"($330,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Will Sutton,DT,24,"$671,517",0.47%,"($439,551)","$525,000","$146,517",-,-,-,-,-,-,table_active,2015
Vladimir Ducasse,G,28,"$665,000",0.46%,"($80,000)","$745,000","$40,000",-,-,-,"$40,000",-,-,table_active,2015
Sherrick McManis,CB,28,"$665,000",0.46%,"($250,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Josh Bellamy,WR,26,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Marc Mariani,WR,28,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Zach Miller,TE,31,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Hroniss Grasu,C,24,"$625,479",0.44%,"($761,919)","$435,000","$190,479",-,-,-,-,-,-,table_active,2015
Ka'Deem Carey,RB,23,"$620,845",0.43%,"($332,535)","$510,000","$110,845",-,-,-,-,-,-,table_active,2015
Tracy Porter,CB,29,"$585,000",0.41%,-,"$870,000",-,-,-,-,-,-,-,table_active,2015
Patrick Omameh,G,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Jeremy Langford,RB,24,"$570,906",0.40%,"($543,623)","$435,000","$135,906",-,-,-,-,-,-,table_active,2015
Sam Acho,OLB,27,"$550,588",0.38%,-,"$701,176",-,-,-,-,-,-,-,table_active,2015
Pat O'Donnell,P,24,"$536,327",0.37%,"($78,981)","$510,000","$26,327",-,-,-,-,-,-,table_active,2015
Charles Leno,LT,24,"$521,628",0.36%,"($34,884)","$510,000","$11,628",-,-,-,-,-,-,table_active,2015
Mitch Unrein,DE,28,"$516,176",0.36%,-,"$657,352",-,-,-,-,-,-,-,table_active,2015
Christian Jones,ILB,24,"$512,333",0.36%,"($4,667)","$510,000","$2,333",-,-,-,-,-,-,table_active,2015
Lamin Barrow,ILB,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Adrian Amos,FS,22,"$493,070",0.34%,"($232,280)","$435,000","$58,070",-,-,-,-,-,-,table_active,2015
Chris Prosinski,SS,28,"$481,764",0.34%,-,"$613,529",-,-,-,-,-,-,-,table_active,2015
LaRoy Reynolds,ILB,25,"$481,764",0.34%,-,"$481,764",-,-,-,-,-,-,-,table_active,2015
Sherrod Martin,SS,31,"$447,352",0.31%,-,"$569,705",-,-,-,-,-,-,-,table_active,2015
Nick Becton,LT,25,"$447,352",0.31%,-,"$447,352",-,-,-,-,-,-,-,table_active,2015
Cameron Meredith,WR,23,"$437,000",0.31%,"($6,000)","$435,000","$2,000",-,-,-,-,-,-,table_active,2015
Harold Jones-Quartey,SS,22,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Khari Lee,TE,23,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Bruce Gaston,DT,24,"$360,000",0.25%,-,"$360,000",-,-,-,-,-,-,-,table_active,2015
Deonte Thompson,WR,26,"$310,588",0.22%,-,"$310,588",-,-,-,-,-,-,-,table_active,2015
Jonathan Anderson,ILB,24,"$307,058",0.21%,-,"$307,058",-,-,-,-,-,-,-,table_active,2015
Bryce Callahan,CB,24,"$281,470",0.20%,-,"$281,470",-,-,-,-,-,-,-,table_active,2015
David Fales,QB,25,"$180,000",0.13%,-,"$180,000",-,-,-,-,-,-,-,table_active,2015
Jacoby Glenn,CB,22,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
