Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
A.J. Green,WR,27,"$14,750,000",10.29%,"($26,750,000)","$11,750,000","$3,000,000",-,-,-,-,-,-,table_active,2015
Leon Hall,CB,31,"$9,600,000",6.70%,"($1,900,000)","$7,700,000","$1,800,000",-,-,-,"$100,000",-,-,table_active,2015
Andy Dalton,QB,28,"$9,600,000",6.70%,"($13,800,000)","$3,000,000","$2,400,000",-,"$4,000,000",-,"$200,000",-,-,table_active,2015
Geno Atkins,DT,27,"$9,000,000",6.28%,"($9,300,000)","$5,700,000","$3,000,000",-,-,-,"$300,000",-,-,table_active,2015
Andrew Whitworth,LT,34,"$7,200,000",5.03%,"($4,000,000)","$5,000,000","$2,000,000",-,-,-,"$200,000",-,-,table_active,2015
Rey Maualuga,ILB,28,"$7,137,500",4.98%,"($4,800,000)","$2,150,000",-,-,"$4,687,500",-,"$300,000",-,-,table_active,2015
Andre Smith,G,28,"$6,362,500",4.44%,"($1,200,000)","$4,600,000","$1,000,000",-,"$562,500",-,"$200,000",-,-,table_active,2015
Vontaze Burfict,OLB,25,"$5,175,000",3.61%,"($5,675,000)","$1,050,000","$775,000",-,"$3,150,000",-,"$200,000",-,-,table_active,2015
Clint Boling,G,26,"$5,100,000",3.56%,"($5,200,000)","$1,700,000","$500,000",-,"$2,700,000",-,"$200,000",-,-,table_active,2015
Carlos Dunlap,DE,26,"$4,900,000",3.42%,"($5,100,000)","$3,000,000","$1,600,000",-,-,-,"$300,000",-,-,table_active,2015
Reggie Nelson,FS,32,"$4,775,000",3.33%,"($650,000)","$4,100,000","$625,000",-,-,-,"$50,000",-,-,table_active,2015
Domata Peko,DT,31,"$3,700,000",2.58%,"($1,700,000)","$2,000,000",-,-,"$1,500,000",-,"$200,000",-,-,table_active,2015
Vincent Rey,ILB,28,"$3,100,000",2.16%,"($600,000)","$2,500,000",-,-,-,-,"$100,000",-,"$500,000",table_active,2015
