Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Joe Haden,CB,27,"$13,400,000",8.63%,"($19,800,000)","$10,100,000","$3,200,000",-,-,-,"$100,000",-,-,table_active,2016
Joe Thomas,LT,32,"$9,500,000",6.12%,"($9,500,000)","$8,300,000",-,-,"$1,000,000",-,"$200,000",-,-,table_active,2016
Tramon Williams,CB,33,"$6,981,250",4.50%,"($7,200,000)","$6,200,000","$500,000",-,"$281,250",-,-,-,-,table_active,2016
Robert Griffin III,QB,26,"$5,234,375",3.37%,"($6,750,000)","$3,250,000","$1,750,000",-,"$234,375",-,-,-,-,table_active,2016
Josh McCown,QB,37,"$5,041,666",3.25%,"($5,708,334)","$4,375,000","$666,666",-,-,-,-,-,-,table_active,2016
Demario Davis,ILB,27,"$3,200,000",2.06%,"($4,200,000)","$2,100,000","$1,000,000",-,-,-,"$100,000",-,-,table_active,2016
Danny Shelton,DT,23,"$2,659,924",1.71%,"($9,575,726)","$966,985","$1,692,939",-,-,-,-,-,-,table_active,2016
Gary Barnidge,TE,31,"$2,562,500",1.65%,"($3,937,500)","$1,500,000","$812,500",-,"$250,000",-,-,-,-,table_active,2016
Cameron Erving,G,24,"$2,142,969",1.38%,"($7,714,688)","$863,594","$1,279,375",-,-,-,-,-,-,table_active,2016
Corey Coleman,WR,22,"$2,119,090",1.36%,"($11,204,997)","$450,000","$1,669,090",-,-,-,-,-,-,table_active,2016
Stephen Paea,DT,28,"$1,900,000",1.22%,-,"$1,200,000","$700,000",-,-,-,-,-,-,table_active,2016
Britton Colquitt,P,31,"$1,700,000",1.09%,"($1,700,000)","$1,700,000",-,-,-,-,-,-,-,table_active,2016
Austin Pasztor,T,26,"$1,671,000",1.08%,-,"$1,671,000",-,-,-,-,-,-,-,table_active,2016
Terrelle Pryor,WR,27,"$1,671,000",1.08%,-,"$1,671,000",-,-,-,-,-,-,-,table_active,2016
Jamar Taylor,CB,26,"$1,649,475",1.06%,"($5,500,000)","$899,475","$750,000",-,-,-,-,-,-,table_active,2016
Emmanuel Ogbah,DE,23,"$1,201,753",0.77%,"($4,357,450)","$450,000","$751,753",-,-,-,-,-,-,table_active,2016
Tank Carder,ILB,27,"$1,100,000",0.71%,"($1,250,000)","$900,000","$150,000",-,-,-,"$50,000",-,-,table_active,2016
Andrew Hawkins,WR,30,"$1,000,000",0.64%,"($1,000,000)","$1,000,000",-,-,-,-,-,-,-,table_active,2016
Josh Gordon,WR,25,"$817,016",0.53%,-,"$1,068,406",-,-,-,-,-,-,-,table_active,2016
Christian Kirksey,ILB,24,"$815,625",0.53%,"($331,250)","$650,000","$165,625",-,-,-,-,-,-,table_active,2016
Duke Johnson,RB,23,"$732,523",0.47%,"($542,569)","$545,000","$177,523",-,-,-,"$10,000",-,-,table_active,2016
Xavier Cooper,DE,25,"$680,071",0.44%,-,"$532,000","$148,071",-,-,-,-,-,-,table_active,2016
Carl Nassib,DE,23,"$672,438",0.43%,"($889,752)","$450,000","$222,438",-,-,-,-,-,-,table_active,2016
Ibraheim Campbell,SS,24,"$653,002",0.42%,"($384,008)","$525,000","$128,002",-,-,-,-,-,-,table_active,2016
Shon Coleman,T,25,"$646,884",0.42%,"($787,536)","$450,000","$196,884",-,-,-,-,-,-,table_active,2016
Cody Kessler,QB,23,"$616,197",0.40%,"($664,788)","$450,000","$166,197",-,-,-,-,-,-,table_active,2016
Joe Schobert,OLB,23,"$608,489",0.39%,"($633,956)","$450,000","$158,489",-,-,-,-,-,-,table_active,2016
Isaiah Crowell,RB,23,"$603,334",0.39%,"($3,334)","$600,000","$3,334",-,-,-,-,-,-,table_active,2016
Marcus Burley,CB,26,"$600,000",0.39%,-,"$600,000",-,-,-,-,-,-,-,table_active,2016
Ricardo Louis,WR,22,"$591,962",0.38%,"($567,850)","$450,000","$141,962",-,-,-,-,-,-,table_active,2016
Seth Devalve,TE,23,"$545,848",0.35%,"($383,393)","$450,000","$95,848",-,-,-,-,-,-,table_active,2016
George Atkinson,RB,24,"$525,000",0.34%,-,"$525,000",-,-,-,-,-,-,-,table_active,2016
Charley Hughlett,LS,26,"$525,000",0.34%,-,"$525,000",-,-,-,-,-,-,-,table_active,2016
Jamie Meder,DE,25,"$525,000",0.34%,-,"$525,000",-,-,-,-,-,-,-,table_active,2016
Spencer Drango,G,24,"$501,912",0.32%,"($207,650)","$450,000","$51,912",-,-,-,-,-,-,table_active,2016
Rashard Higgins,WR,22,"$496,096",0.32%,"($184,385)","$450,000","$46,096",-,-,-,-,-,-,table_active,2016
Cody Parkey,K,24,"$494,117",0.32%,-,"$494,117",-,-,-,-,-,-,-,table_active,2016
Jamie Collins,OLB,27,"$485,928",0.31%,-,"$485,928",-,-,-,-,-,-,-,table_active,2016
Randall Telfer,TE,24,"$479,384",0.31%,"($176,304)","$450,000","$29,384",-,-,-,-,-,-,table_active,2016
Dominque Alexander,ILB,21,"$455,833",0.29%,"($17,500)","$450,000","$5,833",-,-,-,-,-,-,table_active,2016
Tracy Howard,CB,22,"$453,000",0.29%,"($9,000)","$450,000","$3,000",-,-,-,-,-,-,table_active,2016
Briean Boddy-Calhoun,CB,23,"$450,000",0.29%,-,"$450,000",-,-,-,-,-,-,-,table_active,2016
Tyrone Holmes,DE,23,"$450,000",0.29%,-,"$450,000",-,-,-,-,-,-,-,table_active,2016
Tyvis Powell,S,22,"$450,000",0.29%,-,"$450,000",-,-,-,-,-,-,-,table_active,2016
Cam Johnson,OLB,26,"$432,348",0.28%,-,"$432,348",-,-,-,-,-,-,-,table_active,2016
Ed Reynolds,FS,25,"$339,705",0.22%,-,"$339,705",-,-,-,-,-,-,-,table_active,2016
Kevin Hogan,QB,24,"$317,640",0.20%,-,"$317,640",-,-,-,-,-,-,-,table_active,2016
Dan Vitale,FB,23,"$317,640",0.20%,-,"$317,640",-,-,-,-,-,-,-,table_active,2016
Gabe Ikard,C,26,"$308,823",0.20%,-,"$308,823",-,-,-,-,-,-,-,table_active,2016
Anthony Fabiano,T,23,"$105,880",0.07%,-,"$105,880",-,-,-,-,-,-,-,table_active,2016
Mario Alford,WR,24,"$92,646",0.06%,-,"$92,646",-,-,-,-,-,-,-,table_active,2016
Gabe Wright,DT,24,"$92,646",0.06%,-,"$92,646",-,-,-,-,-,-,-,table_active,2016
Darius Jackson,RB,23,"$79,410",0.05%,-,"$79,410",-,-,-,-,-,-,-,table_active,2016
Trey Caldwell,S,23,"$52,940",0.03%,-,"$52,940",-,-,-,-,-,-,-,table_active,2016
Terrell Watson,RB,23,"$26,470",0.02%,-,"$26,470",-,-,-,-,-,-,-,table_active,2016
John Greco,G,31,"$2,925,000",1.88%,"($2,925,000)","$2,925,000",-,-,-,-,-,-,-,table_injured,2016
Joel Bitonio,G,25,"$1,489,554",0.96%,"($1,466,072)","$916,518","$573,036",-,-,-,-,-,-,table_injured,2016
Nate Orchard,OLB,23,"$1,015,069",0.65%,"($1,769,179)","$638,014","$377,055",-,-,-,-,-,-,table_injured,2016
Jordan Poyer,FS,25,"$675,000",0.43%,-,"$675,000",-,-,-,-,-,-,-,table_injured,2016
Glenn Winston,RB,27,"$600,000",0.39%,-,"$600,000",-,-,-,-,-,-,-,table_injured,2016
Austin Reiter,C,25,"$397,050",0.26%,-,"$397,050",-,-,-,-,-,-,-,table_injured,2016
Rannell Hall,WR,24,"$348,000",0.22%,-,"$348,000",-,-,-,-,-,-,-,table_injured,2016
Rajion Neal,RB,24,"$348,000",0.22%,-,"$348,000",-,-,-,-,-,-,-,table_injured,2016
Nile Lawrence-Stample,DT,24,"$333,000",0.21%,-,"$333,000",-,-,-,-,-,-,-,table_injured,2016
Dennis Parks,WR,22,"$333,000",0.21%,-,"$333,000",-,-,-,-,-,-,-,table_injured,2016
