Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Aaron Rodgers,QB,32,"$18,250,000",12.74%,"($29,950,000)","$1,000,000","$6,650,000",-,"$10,100,000",-,"$500,000",-,-,table_active,2015
Clay Matthews Jr.,OLB,29,"$12,700,000",8.86%,"($12,800,000)","$7,600,000","$4,100,000",-,"$500,000",-,"$500,000",-,-,table_active,2015
Julius Peppers,DE,35,"$12,000,000",8.38%,"($5,500,000)","$8,500,000","$2,500,000",-,"$500,000",-,"$500,000",-,-,table_active,2015
Sam Shields,CB,28,"$9,062,500",6.33%,"($12,375,000)","$2,500,000","$3,125,000",-,"$2,937,500",-,"$500,000",-,-,table_active,2015
Josh Sitton,G,29,"$7,000,000",4.89%,"($1,500,000)","$5,100,000","$1,200,000",-,"$400,000",-,"$300,000",-,-,table_active,2015
T.J. Lang,G,28,"$5,800,000",4.05%,"($2,400,000)","$4,200,000","$1,100,000",-,"$300,000",-,"$200,000",-,-,table_active,2015
Randall Cobb,WR,25,"$5,350,000",3.73%,"($13,400,000)","$1,200,000","$3,250,000",-,"$500,000",-,"$400,000",-,-,table_active,2015
Morgan Burnett,SS,26,"$5,131,250",3.58%,"($5,250,000)","$2,900,000","$1,650,000",-,"$281,250",-,"$300,000",-,-,table_active,2015
Michael Neal,OLB,28,"$4,250,000",2.97%,"($2,450,000)","$1,500,000","$1,250,000",-,"$1,300,000",-,"$200,000",-,-,table_active,2015
Mike Daniels,DT,26,"$4,022,996",2.81%,"($13,547,850)","$1,542,000","$2,475,146",-,-,-,"$5,850",-,-,table_active,2015
Bryan Bulaga,RT,26,"$3,568,750",2.49%,"($8,250,000)","$1,250,000","$1,600,000",-,"$468,750",-,"$250,000",-,-,table_active,2015
Mason Crosby,K,31,"$3,550,000",2.48%,"($750,000)","$2,800,000","$600,000",-,-,-,"$150,000",-,-,table_active,2015
Letroy Guion,DE,28,"$2,485,294",1.73%,"($100,000)","$1,235,294",-,-,"$1,150,000",-,"$100,000",-,-,table_active,2015
Nick Perry,OLB,25,"$2,386,125",1.67%,"($973,500)","$1,412,625","$973,500",-,-,-,-,-,-,table_active,2015
Datone Jones,DE,25,"$2,039,436",1.42%,"($3,102,541)","$1,041,420","$998,016",-,-,-,-,-,-,table_active,2015
