Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
J.J. Watt,DE,26,"$13,969,000",9.75%,"($27,969,000)","$9,969,000","$2,000,000",-,-,-,-,"$2,000,000",-,table_active,2015
Johnathan Joseph,CB,31,"$11,750,000",8.20%,"($15,250,000)","$7,000,000","$2,500,000",-,"$500,000","$1,250,000","$500,000",-,-,table_active,2015
Brian Cushing,ILB,28,"$7,891,250",5.51%,"($13,592,500)","$4,000,000","$1,597,500",-,"$1,093,750","$1,200,000",-,-,-,table_active,2015
Kareem Jackson,CB,27,"$7,453,125",5.20%,"($20,000,000)","$1,000,000","$2,250,000",-,"$4,203,125",-,-,-,-,table_active,2015
Brian Hoyer,QB,30,"$5,218,750",3.64%,"($4,750,000)","$1,000,000",-,-,"$4,218,750",-,-,-,-,table_active,2015
Jadeveon Clowney,OLB,22,"$5,062,045",3.53%,"($18,223,362)","$510,000","$3,629,636",-,"$922,409",-,-,-,-,table_active,2015
Derek Newton,RT,28,"$4,500,000",3.14%,"($10,000,000)","$1,500,000","$750,000",-,"$2,250,000",-,-,-,-,table_active,2015
Garrett Graham,TE,29,"$3,921,875",2.74%,"($1,500,000)","$3,000,000","$750,000",-,"$171,875",-,-,-,-,table_active,2015
Vince Wilfork,DT,34,"$3,500,000",2.44%,"($5,000,000)","$1,000,000","$1,500,000",-,"$1,000,000",-,-,-,-,table_active,2015
Rahim Moore,FS,26,"$3,000,000",2.09%,"($4,000,000)","$1,000,000","$1,000,000",-,"$1,000,000",-,-,-,-,table_active,2015
Whitney Mercilus,OLB,25,"$2,979,030",2.08%,"($11,679,030)","$931,012","$2,048,018",-,-,-,-,-,-,table_active,2015
Cecil Shorts,WR,28,"$2,453,125",1.71%,"($2,500,000)","$1,000,000","$500,000",-,"$953,125",-,-,-,-,table_active,2015
Shane Lechler,P,39,"$2,083,334",1.45%,"($333,334)","$1,750,000","$333,334",-,-,-,-,-,-,table_active,2015
DeAndre Hopkins,WR,23,"$2,080,010",1.45%,"($3,061,683)","$1,098,337","$981,673",-,-,-,-,-,-,table_active,2015
Kevin Johnson,CB,23,"$1,827,166",1.28%,"($10,049,413)","$435,000","$1,392,166",-,-,-,-,-,-,table_active,2015
Akeem Dent,ILB,28,"$1,709,375",1.19%,"($2,000,000)","$1,100,000","$375,000",-,"$234,375",-,-,-,-,table_active,2015
Brandon Brooks,G,26,"$1,696,359",1.18%,"($154,359)","$1,542,000","$154,359",-,-,-,-,-,-,table_active,2015
Ben Jones,C,26,"$1,662,362",1.16%,"($120,362)","$1,542,000","$120,362",-,-,-,-,-,-,table_active,2015
Jared Crick,DE,26,"$1,639,875",1.14%,"($97,875)","$1,542,000","$97,875",-,-,-,-,-,-,table_active,2015
Chris Clark,LT,30,"$1,400,000",0.98%,-,"$1,400,000",-,-,-,-,-,-,-,table_active,2015
Xavier Su'a-Filo,G,24,"$1,261,727",0.88%,"($2,958,318)","$672,345","$589,382",-,-,-,-,-,-,table_active,2015
Benardrick McKinney,ILB,23,"$971,840",0.68%,"($2,825,324)","$435,000","$536,840",-,-,-,-,-,-,table_active,2015
Jon Weeks,LS,29,"$938,750",0.66%,"($473,750)","$825,000","$113,750",-,-,-,-,-,-,table_active,2015
Chris Polk,RB,26,"$747,500",0.52%,-,"$660,000",-,-,"$87,500",-,-,-,-,table_active,2015
C.J. Fiedorowicz,TE,24,"$730,826",0.51%,"($527,478)","$555,000","$175,826",-,-,-,-,-,-,table_active,2015
Jaelen Strong,WR,21,"$627,995",0.44%,"($771,980)","$435,000","$192,995",-,-,-,-,-,-,table_active,2015
Nate Washington,WR,32,"$615,000",0.43%,-,"$970,000",-,-,"$30,000",-,-,-,-,table_active,2015
A.J. Bouye,CB,24,"$586,668",0.41%,"($1,668)","$585,000","$1,668",-,-,-,-,-,-,table_active,2015
Justin Tuggle,ILB,25,"$585,834",0.41%,($834),"$585,000",$834,-,-,-,-,-,-,table_active,2015
Quintin Demps,SS,30,"$585,000",0.41%,-,"$870,000",-,-,-,-,-,-,-,table_active,2015
Johnathan Grimes,RB,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Darryl Morris,CB,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Eddie Pleasant,FS,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
John Simon,OLB,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Oday Aboushi,G,24,"$550,588",0.38%,-,"$550,588",-,-,-,-,-,-,-,table_active,2015
Jeoffrey Pagan,DE,22,"$542,205",0.38%,"($96,615)","$510,000","$32,205",-,-,-,-,-,-,table_active,2015
Alfred Blue,RB,24,"$539,483",0.38%,"($88,449)","$510,000","$29,483",-,-,-,-,-,-,table_active,2015
Jay Prosch,FB,23,"$529,670",0.37%,"($59,010)","$510,000","$19,670",-,-,-,-,-,-,table_active,2015
Andre Hal,FS,23,"$527,281",0.37%,"($51,843)","$510,000","$17,281",-,-,-,-,-,-,table_active,2015
Nick Novak,K,34,"$481,764",0.34%,-,"$716,470",-,-,-,-,-,-,-,table_active,2015
Keith Mumphery,WR,23,"$476,563",0.33%,"($166,254)","$435,000","$41,563",-,-,-,-,-,-,table_active,2015
Christian Covington,DE,22,"$457,621",0.32%,"($90,487)","$435,000","$22,621",-,-,-,-,-,-,table_active,2015
