Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Julius Thomas,TE,27,"$10,300,000",7.19%,"($21,100,000)","$9,000,000","$1,200,000",-,-,-,"$100,000",-,-,table_active,2015
Jared Odrick,DE,28,"$9,000,000",6.28%,"($17,000,000)","$4,000,000",-,-,"$5,000,000",-,-,-,-,table_active,2015
Jermey Parnell,RT,29,"$8,000,000",5.58%,"($14,500,000)","$3,000,000",-,-,"$5,000,000",-,-,-,-,table_active,2015
Paul Posluszny,OLB,31,"$6,885,416",4.81%,"($7,000,000)","$3,950,000","$2,166,666",-,"$718,750",-,"$50,000",-,-,table_active,2015
Davon House,CB,26,"$6,500,000",4.54%,"($10,000,000)","$4,500,000",-,-,"$2,000,000",-,-,-,-,table_active,2015
Luke Joeckel,G,24,"$5,782,254",4.04%,"($12,528,217)","$2,332,418","$3,449,836",-,-,-,-,-,-,table_active,2015
Zane Beadles,G,29,"$5,000,000",3.49%,"($2,025,000)","$2,975,000",-,-,"$2,000,000",-,"$25,000",-,-,table_active,2015
Chris Clemons,DE,34,"$5,000,000",3.49%,"($1,025,000)","$2,975,000",-,-,"$1,500,000",-,"$25,000",-,"$500,000",table_active,2015
Blake Bortles,QB,23,"$4,694,275",3.28%,"($16,899,390)","$1,358,855","$3,335,420",-,-,-,-,-,-,table_active,2015
Dan Skuta,OLB,29,"$4,600,000",3.21%,"($4,600,000)","$2,600,000",-,-,"$2,000,000",-,-,-,-,table_active,2015
Roy Miller,DT,28,"$3,850,000",2.69%,"($525,000)","$2,725,000","$100,000",-,"$1,000,000",-,"$25,000",-,-,table_active,2015
Marcedes Lewis,TE,31,"$3,850,000",2.69%,"($2,150,000)","$2,000,000","$1,650,000",-,"$200,000",-,-,-,-,table_active,2015
Chad Henne,QB,30,"$3,500,000",2.44%,-,"$3,500,000",-,-,-,-,-,-,-,table_active,2015
Tyson Alualu,DE,28,"$3,000,000",2.09%,"($425,000)","$1,750,000",-,-,"$1,250,000",-,-,-,-,table_active,2015
Sergio Brown,FS,27,"$2,500,000",1.74%,"($250,000)","$1,750,000",-,-,"$750,000",-,-,-,-,table_active,2015
Stefen Wisniewski,C,26,"$2,500,000",1.74%,"($1,750,000)","$1,250,000","$500,000",-,"$250,000",-,-,-,"$500,000",table_active,2015
Andre Branch,DE,26,"$1,619,525",1.13%,"($560,442)","$1,059,083","$535,442",-,-,-,"$25,000",-,-,table_active,2015
Clay Harbor,TE,28,"$1,500,000",1.05%,-,"$1,500,000",-,-,-,-,-,-,-,table_active,2015
