Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Alex Smith,QB,31,"$15,600,000",10.89%,"($40,500,000)","$11,900,000","$3,600,000",-,-,-,"$100,000",-,-,table_active,2015
Eric Berry,FS,27,"$8,357,700",5.83%,"($3,202,700)","$5,155,000",-,-,-,-,"$300,000","$2,902,700",-,table_active,2015
Sean Smith,CB,28,"$7,000,000",4.89%,"($2,500,000)","$3,500,000","$2,250,000",-,"$1,000,000",-,"$250,000",-,-,table_active,2015
Eric Fisher,LT,24,"$6,051,954",4.22%,"($8,519,272)","$585,000","$3,629,636",-,"$1,837,318",-,-,-,-,table_active,2015
Derrick Johnson,ILB,33,"$5,250,000",3.66%,"($1,250,000)","$4,000,000",-,-,"$1,000,000",-,"$250,000",-,-,table_active,2015
Justin Houston,OLB,26,"$5,100,000",3.56%,"($32,500,000)","$1,000,000","$4,100,000",-,-,-,-,-,-,table_active,2015
Tamba Hali,OLB,32,"$4,964,706",3.47%,"($7,964,706)","$1,000,000","$2,964,706",-,-,-,-,"$1,000,000",-,table_active,2015
Chase Daniel,QB,29,"$4,800,000",3.35%,"($1,050,000)","$3,750,000","$1,000,000",-,-,-,"$50,000",-,-,table_active,2015
Dustin Colquitt,P,33,"$3,800,000",2.65%,"($2,450,000)","$2,950,000","$800,000",-,-,-,"$50,000",-,-,table_active,2015
Dontari Poe,DT,25,"$3,601,822",2.51%,"($3,601,822)","$1,933,640","$1,668,182",-,-,-,-,-,-,table_active,2015
Jeremy Maclin,WR,27,"$3,400,000",2.37%,"($22,750,000)","$750,000","$2,400,000",-,-,-,"$250,000",-,-,table_active,2015
Allen Bailey,DE,26,"$3,231,250",2.26%,"($9,100,000)","$1,000,000","$2,000,000",-,"$131,250",-,"$100,000",-,-,table_active,2015
Mike DeVito,DE,31,"$2,620,000",1.83%,"($2,600,000)","$870,000","$1,700,000",-,"$20,000",-,"$30,000",-,-,table_active,2015
Ron Parker,FS,28,"$2,000,000",1.40%,"($5,850,000)","$750,000","$1,000,000",-,"$150,000",-,"$100,000",-,-,table_active,2015
Dee Ford,OLB,24,"$1,854,250",1.29%,"($5,142,750)","$790,850","$1,063,400",-,-,-,-,-,-,table_active,2015
Josh Mauga,ILB,28,"$1,750,000",1.22%,"($2,300,000)","$750,000","$750,000",-,"$200,000",-,"$50,000",-,-,table_active,2015
Marcus Peters,CB,22,"$1,742,574",1.22%,"($9,584,157)","$435,000","$1,307,574",-,-,-,-,-,-,table_active,2015
Jah Reid,RT,27,"$1,520,000",1.06%,"($3,100,000)","$745,000","$775,000",-,-,-,-,-,-,table_active,2015
Anthony Sherman,FB,27,"$1,500,000",1.05%,"($2,300,000)","$750,000","$500,000",-,"$200,000",-,"$50,000",-,-,table_active,2015
Jeff Allen,G,25,"$1,477,580",1.03%,"($454,331)","$973,249","$454,331",-,"$50,000",-,-,-,-,table_active,2015
Tyvon Branch,SS,29,"$1,287,500",0.90%,"($1,100,000)","$870,000","$200,000",-,"$187,500",-,"$30,000",-,-,table_active,2015
Husain Abdullah,FS,30,"$1,145,000",0.80%,"($400,000)","$745,000","$375,000",-,-,-,"$25,000",-,-,table_active,2015
Travis Kelce,TE,26,"$853,826",0.60%,"($376,652)","$585,000","$175,826",-,"$68,000",-,"$25,000",-,-,table_active,2015
Mitch Morse,C,23,"$849,649",0.59%,"($2,281,017)","$435,000","$414,649",-,-,-,-,-,-,table_active,2015
Donald Stephenson,LT,27,"$844,375",0.59%,"($184,375)","$660,000","$159,375",-,-,-,"$25,000",-,-,table_active,2015
Frank Zombo,OLB,28,"$820,000",0.57%,"($75,000)","$745,000","$50,000",-,-,-,"$25,000",-,-,table_active,2015
Knile Davis,RB,24,"$736,504",0.51%,"($278,008)","$585,000","$126,504",-,-,-,"$25,000",-,-,table_active,2015
Jason Avant,WR,32,"$665,000",0.46%,"($80,000)","$870,000","$50,000",-,-,-,"$30,000",-,-,table_active,2015
Jamell Fleming,S,26,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Jaye Howard,DE,27,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
Chris Conley,WR,23,"$613,108",0.43%,"($712,434)","$435,000","$178,108",-,-,-,-,-,-,table_active,2015
Marcus Cooper,CB,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Dezman Moses,OLB,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Steven Nelson,CB,22,"$580,488",0.41%,"($581,952)","$435,000","$145,488",-,-,-,-,-,-,table_active,2015
Aaron Murray,QB,25,"$563,606",0.39%,"($144,818)","$510,000","$45,606",-,-,-,"$8,000",-,-,table_active,2015
Ramik Wilson,ILB,23,"$560,030",0.39%,"($500,123)","$435,000","$125,030",-,-,-,-,-,-,table_active,2015
Zach Fulton,G,24,"$544,055",0.38%,"($86,165)","$510,000","$26,055",-,-,-,"$8,000",-,-,table_active,2015
Laurent Duvernay-Tardif,G,24,"$543,075",0.38%,"($83,225)","$510,000","$25,075",-,-,-,"$8,000",-,-,table_active,2015
Albert Wilson,WR,23,"$513,333",0.36%,"($6,667)","$510,000","$3,333",-,-,-,-,-,-,table_active,2015
Cairo Santos,K,24,"$510,666",0.36%,"($1,334)","$510,000",$666,-,-,-,-,-,-,table_active,2015
Demetrius Harris,TE,24,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Daniel Sorensen,SS,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Charcandrick West,RB,24,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Nick Williams,DE,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
D.J. Alexander,ILB,24,"$476,563",0.33%,"($166,254)","$435,000","$41,563",-,-,-,-,-,-,table_active,2015
Rakeem Nunez-Roches,DE,22,"$457,621",0.32%,"($90,487)","$435,000","$22,621",-,-,-,-,-,-,table_active,2015
Brian Parker,TE,23,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
James Winchester,LS,26,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Spencer Ware,RB,24,"$360,000",0.25%,-,"$360,000",-,-,-,-,-,-,-,table_active,2015
David King,DE,26,"$210,000",0.15%,-,"$210,000",-,-,-,-,-,-,-,table_active,2015
Frankie Hammond,WR,25,"$180,000",0.13%,-,"$180,000",-,-,-,-,-,-,-,table_active,2015
Jarrod Pughsley,LT,25,"$102,352",0.07%,-,"$102,352",-,-,-,-,-,-,-,table_active,2015
Jamaal Charles,RB,29,"$7,970,835",5.56%,"($1,583,334)","$4,450,000",-,-,"$1,937,500","$1,333,335","$250,000",-,-,table_injured,2015
Ben Grubbs,G,31,"$2,400,000",1.68%,"($8,600,000)","$900,000",-,-,-,-,"$100,000","$1,400,000",-,table_injured,2015
Paul Fanaika,G,29,"$1,383,333",0.97%,"($1,800,000)","$750,000","$583,333",-,-,-,"$50,000",-,-,table_injured,2015
Phillip Gaines,CB,24,"$509,513",0.36%,"($419,834)","$364,235","$137,278",-,-,-,"$8,000",-,-,table_injured,2015
James O'Shaughnessy,TE,23,"$428,386",0.30%,"($166,254)","$386,823","$41,563",-,-,-,-,-,-,table_injured,2015
Justin March,ILB,22,"$321,333",0.22%,"($10,000)","$318,000","$3,333",-,-,-,-,-,-,table_injured,2015
Da'Ron Brown,WR,,"$112,200",0.08%,,,,,,,,,,table_practice-squad,2015
Laurence Gibson,T,,"$112,200",0.08%,,,,,,,,,,table_practice-squad,2015
Jimmy Staten,DT,,"$92,400",0.06%,,,,,,,,,,table_practice-squad,2015
Michael Liedtke,G,,"$79,200",0.06%,,,,,,,,,,table_practice-squad,2015
Fred Williams,WR,,"$66,000",0.05%,,,,,,,,,,table_practice-squad,2015
Tyrell Adams,OLB,,"$59,400",0.04%,,,,,,,,,,table_practice-squad,2015
Ross Travis,TE,,"$46,200",0.03%,,,,,,,,,,table_practice-squad,2015
Dwayne Bowe,WR,,"$8,894,118",6.21%,,,,,,,,,,table_dead,2015
Brandon Flowers,CB,,"$4,000,000",2.79%,,,,,,,,,,table_dead,2015
Anthony Fasano,TE,,"$2,250,000",1.57%,,,,,,,,,,table_dead,2015
Vance Walker,DE,,"$2,000,000",1.40%,,,,,,,,,,table_dead,2015
Ryan Succop,K,,"$1,017,500",0.71%,,,,,,,,,,table_dead,2015
Joe Mays,ILB,,"$1,000,000",0.70%,,,,,,,,,,table_dead,2015
Donnie Avery,WR,,"$500,000",0.35%,,,,,,,,,,table_dead,2015
Sanders Commings,FS,,"$420,613",0.29%,,,,,,,,,,table_dead,2015
Frankie Hammond,WR,,"$270,000",0.19%,,,,,,,,,,table_dead,2015
Nico Johnson,ILB,,"$243,000",0.17%,,,,,,,,,,table_dead,2015
Jarrod Pughsley,LT,,"$85,800",0.06%,,,,,,,,,,table_dead,2015
Darrin Reaves,RB,,"$79,200",0.06%,,,,,,,,,,table_dead,2015
Saalim Hakim,WR,,"$68,823",0.05%,,,,,,,,,,table_dead,2015
Hebron Fangupo,DT,,"$66,000",0.05%,,,,,,,,,,table_dead,2015
Kelcie McCray,SS,,"$62,500",0.04%,,,,,,,,,,table_dead,2015
Eric Kush,G,,"$39,779",0.03%,,,,,,,,,,table_dead,2015
