Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Rodney Hudson,C,26,"$13,000,000",9.07%,"($13,000,000)","$5,700,000",-,-,"$6,900,000",-,"$400,000",-,-,table_active,2015
Dan Williams,DT,28,"$8,000,000",5.58%,"($15,350,000)","$3,850,000",-,-,"$4,000,000",-,"$150,000",-,-,table_active,2015
Curtis Lofton,ILB,29,"$6,500,000",4.54%,"($6,500,000)","$3,000,000",-,-,"$3,500,000",-,-,-,-,table_active,2015
Donald Penn,LT,32,"$5,400,000",3.77%,"($400,000)","$4,600,000",-,-,-,-,"$400,000",-,"$400,000",table_active,2015
Khalil Mack,DE,24,"$4,244,773",2.96%,"($15,281,181)","$510,000","$2,975,818",-,"$758,955",-,-,-,-,table_active,2015
Charles Woodson,SS,39,"$4,200,000",2.93%,"($1,400,000)","$1,800,000","$1,400,000",-,-,-,-,-,"$1,000,000",table_active,2015
Amari Cooper,WR,21,"$4,120,566",2.88%,"($22,663,116)","$435,000","$3,685,566",-,-,-,-,-,-,table_active,2015
Malcolm Smith,OLB,26,"$4,000,000",2.79%,"($4,000,000)","$1,750,000",-,-,"$2,000,000",-,"$250,000",-,-,table_active,2015
Sebastian Janikowski,K,37,"$3,610,000",2.52%,"($1,080,000)","$3,250,000","$360,000",-,-,-,-,-,-,table_active,2015
Marcel Reece,FB,30,"$3,580,838",2.50%,"($1,811,677)","$2,550,000","$880,838",-,-,-,"$50,000",-,"$100,000",table_active,2015
Lee Smith,TE,28,"$3,350,000",2.34%,"($3,350,000)","$1,500,000",-,-,"$1,600,000",-,"$250,000",-,-,table_active,2015
Michael Crabtree,WR,28,"$3,200,000",2.23%,"($6,800,000)","$1,400,000","$1,300,000",-,"$250,000",-,"$250,000",-,-,table_active,2015
D.J. Hayden,CB,25,"$2,815,554",1.97%,"($4,204,072)","$585,000","$1,472,036",-,"$758,518",-,-,-,-,table_active,2015
Rod Streater,WR,27,"$2,356,000",1.64%,-,"$2,356,000",-,-,-,-,-,-,-,table_active,2015
Roy Helu,RB,27,"$2,100,000",1.47%,"($1,100,000)","$1,000,000",-,-,"$1,000,000",-,"$100,000",-,-,table_active,2015
Khalif Barnes,LT,33,"$1,750,000",1.22%,"($530,000)","$970,000",-,-,"$500,000",-,"$30,000",-,"$250,000",table_active,2015
Larry Asante,SS,27,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Andre Holmes,WR,27,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Marquette King,P,27,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Derek Carr,QB,24,"$1,220,864",0.85%,"($2,334,236)","$664,173","$556,691",-,-,-,-,-,-,table_active,2015
Taiwan Jones,RB,27,"$1,150,000",0.80%,"($50,000)","$1,100,000",-,-,-,-,"$50,000",-,-,table_active,2015
Lorenzo Alexander,OLB,32,"$870,000",0.61%,-,"$870,000",-,-,-,-,-,-,-,table_active,2015
Jamize Olawale,FB,26,"$850,000",0.59%,-,"$660,000","$190,000",-,-,-,-,-,-,table_active,2015
Tony Bergstrom,C,29,"$786,504",0.55%,"($126,504)","$660,000","$126,504",-,-,-,-,-,-,table_active,2015
Gabe Jackson,G,24,"$672,844",0.47%,"($443,532)","$525,000","$147,844",-,-,-,-,-,-,table_active,2015
Clive Walford,TE,24,"$633,626",0.44%,"($794,504)","$435,000","$198,626",-,-,-,-,-,-,table_active,2015
Justin Ellis,DT,25,"$628,172",0.44%,"($354,516)","$510,000","$118,172",-,-,-,-,-,-,table_active,2015
