Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Chris Long,DE,30,"$12,500,000",8.72%,"($8,000,000)","$7,000,000",-,-,"$3,000,000",-,-,"$2,500,000",-,table_active,2015
Jared Cook,TE,28,"$8,300,441",5.79%,"($8,901,323)","$7,000,000","$1,000,000",-,-,-,-,"$300,441",-,table_active,2015
Lance Kendricks,TE,27,"$5,600,000",3.91%,"($5,500,000)","$1,500,000",-,-,"$4,000,000",-,-,-,"$100,000",table_active,2015
Greg Robinson,LT,23,"$4,837,295",3.38%,"($17,414,262)","$1,387,459","$3,449,836",-,-,-,-,-,-,table_active,2015
William Hayes,DE,30,"$4,480,000",3.13%,"($1,250,000)","$3,105,000","$1,250,000",-,-,-,-,-,"$125,000",table_active,2015
Kenny Britt,WR,27,"$4,300,000",3.00%,"($3,800,000)","$2,550,000",-,-,"$1,500,000",-,"$250,000",-,-,table_active,2015
James Laurinaitis,ILB,29,"$4,275,000",2.98%,"($1,550,000)","$3,625,000","$400,000",-,-,"$250,000",-,-,-,table_active,2015
Nick Foles,QB,26,"$4,042,000",2.82%,"($7,792,000)","$1,022,000","$1,000,000",-,"$2,000,000",-,"$20,000",-,-,table_active,2015
Tavon Austin,WR,25,"$3,477,546",2.43%,"($7,534,683)","$1,564,182","$1,913,364",-,-,-,-,-,-,table_active,2015
Michael Brockers,DT,25,"$3,029,727",2.11%,"($3,029,727)","$1,688,454","$1,341,273",-,-,-,-,-,-,table_active,2015
Akeem Ayers,OLB,26,"$2,921,875",2.04%,"($2,750,000)","$1,250,000",-,-,"$1,671,875",-,-,-,-,table_active,2015
Todd Gurley,RB,21,"$2,513,306",1.75%,"($9,376,550)","$435,000","$2,078,306",-,-,-,-,-,-,table_active,2015
Eugene Sims,DE,29,"$2,391,686",1.67%,"($116,686)","$1,900,000","$116,686",-,"$250,000",-,-,-,"$125,000",table_active,2015
Johnny Hekker,P,25,"$2,373,773",1.66%,"($828,426)","$1,111,111","$151,551",-,"$1,111,111",-,-,-,-,table_active,2015
Mark Barron,ILB,26,"$2,362,704",1.65%,"($2,362,704)","$2,362,704",-,-,-,-,-,-,-,table_active,2015
Rodney McLeod,FS,25,"$2,356,000",1.64%,-,"$2,356,000",-,-,-,-,-,-,-,table_active,2015
Aaron Donald,DT,24,"$2,303,750",1.61%,"($8,293,500)","$880,750","$1,423,000",-,-,-,-,-,-,table_active,2015
Brian Quick,WR,26,"$1,713,918",1.20%,"($589,382)","$1,124,536","$589,382",-,-,-,-,-,-,table_active,2015
Trumaine Johnson,CB,25,"$1,709,794",1.19%,"($167,794)","$1,542,000","$167,794",-,-,-,-,-,-,table_active,2015
Janoris Jenkins,CB,27,"$1,587,829",1.11%,"($517,331)","$660,000","$517,331",-,"$410,498",-,-,-,-,table_active,2015
Cory Harkey,FB,25,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
LaMarcus Joyner,FS,25,"$1,143,223",0.80%,"($2,582,378)","$648,645","$494,578",-,-,-,-,-,-,table_active,2015
Garrett Reynolds,G,28,"$999,999",0.70%,"($249,999)","$750,000",-,-,"$249,999",-,-,-,-,table_active,2015
Jake McQuaide,LS,28,"$850,000",0.59%,"($300,000)","$750,000","$100,000",-,-,-,-,-,-,table_active,2015
Greg Zuerlein,K,28,"$723,307",0.50%,"($32,205)","$691,102","$32,205",-,-,-,-,-,-,table_active,2015
