Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Tom Brady,QB,38,"$14,000,000",9.77%,"($18,000,000)","$8,000,000","$6,000,000",-,-,-,-,-,-,table_active,2015
Rob Gronkowski,TE,26,"$8,650,000",6.04%,"($18,300,000)","$4,750,000","$1,650,000",-,-,"$2,000,000","$250,000",-,-,table_active,2015
Sebastian Vollmer,RT,31,"$7,020,833",4.90%,"($4,500,000)","$2,250,000","$1,750,000",-,"$1,937,500","$333,333",-,-,"$750,000",table_active,2015
Devin McCourty,FS,28,"$6,000,000",4.19%,"($22,000,000)","$2,500,000","$3,000,000",-,"$500,000",-,-,-,-,table_active,2015
Rob Ninkovich,OLB,31,"$4,750,000",3.32%,"($7,100,000)","$1,500,000","$2,750,000",-,"$400,000",-,"$100,000",-,-,table_active,2015
Julian Edelman,WR,29,"$4,656,250",3.25%,"($5,750,000)","$2,250,000","$1,250,000",-,"$656,250",-,-,-,"$500,000",table_active,2015
Jabaal Sheard,OLB,26,"$4,000,000",2.79%,"($5,000,000)","$1,000,000","$2,000,000",-,"$1,000,000",-,-,-,-,table_active,2015
Stephen Gostkowski,K,31,"$3,600,000",2.51%,"($10,200,000)","$1,800,000","$1,500,000",-,"$200,000",-,"$100,000",-,-,table_active,2015
Brandon LaFell,WR,29,"$3,500,000",2.44%,"($2,000,000)","$1,800,000","$1,000,000",-,"$400,000",-,-,-,"$300,000",table_active,2015
Danny Amendola,WR,30,"$3,116,666",2.18%,"($4,100,000)","$1,250,000","$1,366,666",-,"$500,000",-,-,-,-,table_active,2015
Marcus Cannon,RT,27,"$2,616,666",1.83%,"($2,233,334)","$1,200,000","$1,066,666",-,"$250,000",-,"$100,000",-,-,table_active,2015
Chandler Jones,OLB,25,"$2,600,659",1.82%,"($1,848,375)","$1,504,568","$1,096,091",-,-,-,-,-,-,table_active,2015
Dont'a Hightower,OLB,25,"$2,457,637",1.72%,"($1,014,364)","$1,443,273","$1,014,364",-,-,-,-,-,-,table_active,2015
Scott Chandler,TE,30,"$2,250,000",1.57%,"($2,050,000)","$1,200,000","$1,000,000",-,-,-,"$50,000",-,-,table_active,2015
Alan Branch,DT,31,"$2,150,000",1.50%,"($700,000)","$1,200,000","$350,000",-,"$200,000",-,-,-,"$400,000",table_active,2015
Patrick Chung,SS,28,"$2,000,000",1.40%,"($3,400,000)","$1,000,000","$800,000",-,"$200,000",-,-,-,-,table_active,2015
Matthew Slater,WR,30,"$1,766,666",1.23%,"($2,333,333)","$1,000,000","$666,666",-,-,-,-,-,"$100,000",table_active,2015
Malcom Brown,DT,22,"$1,384,223",0.97%,"($6,140,062)","$435,000","$949,223",-,-,-,-,-,-,table_active,2015
Tavon Wilson,SS,25,"$1,342,057",0.94%,"($376,891)","$965,166","$376,891",-,-,-,-,-,-,table_active,2015
Akiem Hicks,DE,26,"$1,259,588",0.88%,-,"$1,259,588",-,-,-,-,-,-,-,table_active,2015
Jonathan Freeny,OLB,26,"$1,250,000",0.87%,"($150,000)","$850,000","$400,000",-,-,-,-,-,-,table_active,2015
