Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Sam Bradford,QB,28,"$12,985,000",9.06%,-,"$12,985,000",-,-,-,-,-,-,-,table_active,2015
Jason Peters,LT,33,"$9,050,000",6.32%,"($12,050,000)","$7,300,000","$1,000,000",-,"$500,000",-,"$250,000",-,-,table_active,2015
Byron Maxwell,CB,27,"$8,700,000",6.07%,"($22,000,000)","$1,000,000","$1,200,000",-,"$6,500,000",-,-,-,-,table_active,2015
Connor Barwin,OLB,29,"$7,000,000",4.89%,"($11,200,000)","$6,400,000","$600,000",-,-,-,-,-,-,table_active,2015
Brandon Graham,DE,27,"$6,000,000",4.19%,"($13,000,000)","$3,000,000","$1,000,000",-,"$2,000,000",-,-,-,-,table_active,2015
Malcolm Jenkins,FS,28,"$5,666,666",3.96%,"($5,833,334)","$4,000,000","$1,666,666",-,-,-,-,-,-,table_active,2015
Lane Johnson,RT,25,"$5,225,974",3.65%,"($6,032,292)","$585,000","$3,016,146",-,"$1,624,828",-,-,-,-,table_active,2015
DeMarco Murray,RB,27,"$5,000,000",3.49%,"($28,000,000)","$1,000,000","$1,000,000",-,"$3,000,000",-,-,-,-,table_active,2015
Brent Celek,TE,30,"$4,800,000",3.35%,"($75,000)","$4,725,000",-,-,-,-,"$75,000",-,-,table_active,2015
Riley Cooper,WR,28,"$4,800,000",3.35%,"($7,200,000)","$4,000,000","$800,000",-,-,-,-,-,-,table_active,2015
Jason Kelce,C,28,"$4,400,000",3.07%,"($7,800,000)","$3,200,000","$1,200,000",-,-,-,-,-,-,table_active,2015
Darren Sproles,RB,32,"$4,100,000",2.86%,"($3,500,000)","$3,000,000","$1,000,000",-,-,-,-,-,"$100,000",table_active,2015
Mark Sanchez,QB,29,"$3,750,000",2.62%,"($5,500,000)","$2,500,000","$1,000,000",-,-,-,-,-,"$250,000",table_active,2015
Fletcher Cox,DT,25,"$3,258,036",2.27%,"($3,258,036)","$1,786,000","$1,472,036",-,-,-,-,-,-,table_active,2015
Walter Thurmond,FS,28,"$3,250,000",2.27%,"($2,000,000)","$1,250,000","$2,000,000",-,-,-,-,-,-,table_active,2015
Mychal Kendricks,OLB,25,"$3,014,141",2.10%,"($12,264,141)","$896,060","$2,018,081",-,-,-,"$100,000",-,-,table_active,2015
DeMeco Ryans,ILB,31,"$3,000,000",2.09%,"($4,000,000)","$2,000,000","$1,000,000",-,-,-,-,-,-,table_active,2015
Cedric Thornton,DT,27,"$2,356,000",1.64%,-,"$2,356,000",-,-,-,-,-,-,-,table_active,2015
Donnie Jones,P,35,"$2,083,333",1.45%,"($666,667)","$1,750,000","$333,333",-,-,-,-,-,-,table_active,2015
Ryan Mathews,RB,28,"$2,000,000",1.40%,"($5,000,000)","$1,000,000","$1,000,000",-,-,-,-,-,-,table_active,2015
Marcus Smith,DE,23,"$1,772,520",1.24%,"($4,897,560)","$774,504","$998,016",-,-,-,-,-,-,table_active,2015
Nelson Agholor,WR,22,"$1,704,977",1.19%,"($8,520,507)","$435,000","$1,269,977",-,-,-,-,-,-,table_active,2015
Zach Ertz,TE,25,"$1,467,054",1.02%,"($1,457,273)","$894,018","$573,036",-,-,-,-,-,-,table_active,2015
Allen Barbre,G,31,"$1,450,000",1.01%,"($500,000)","$1,250,000","$150,000",-,-,-,"$50,000",-,-,table_active,2015
Chris Maragos,FS,28,"$1,400,000",0.98%,"($600,000)","$1,200,000","$200,000",-,-,-,-,-,-,table_active,2015
Jordan Matthews,WR,23,"$1,124,834",0.79%,"($2,084,568)","$644,967","$479,867",-,-,-,-,-,-,table_active,2015
Bryan Braman,OLB,28,"$1,120,000",0.78%,"($600,000)","$745,000","$75,000",-,"$300,000",-,-,-,-,table_active,2015
Vinny Curry,DE,27,"$1,076,038",0.75%,"($324,878)","$751,160","$224,878",-,-,-,"$100,000",-,-,table_active,2015
Jon Dorenbos,LS,35,"$1,070,000",0.75%,"($200,000)","$970,000","$100,000",-,-,-,-,-,-,table_active,2015
Eric Rowe,CB,23,"$887,248",0.62%,"($2,465,801)","$435,000","$452,248",-,-,-,-,-,-,table_active,2015
Kiko Alonso,OLB,25,"$795,946",0.56%,"($50,000)","$745,946",-,-,-,-,"$50,000",-,-,table_active,2015
Dennis Kelly,RT,25,"$707,200",0.49%,"($47,200)","$660,000","$47,200",-,-,-,-,-,-,table_active,2015
Seyi Ajirotutu,WR,28,"$665,000",0.46%,"($380,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Josh Huff,WR,24,"$663,986",0.46%,"($416,958)","$525,000","$138,986",-,-,-,-,-,-,table_active,2015
Brandon Bair,DE,31,"$635,000",0.44%,"($100,000)","$585,000","$50,000",-,-,-,-,-,-,table_active,2015
Matt Tobin,G,25,"$586,668",0.41%,"($1,668)","$585,000","$1,668",-,-,-,-,-,-,table_active,2015
E.J. Biggers,CB,28,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Taylor Hart,T,24,"$563,878",0.39%,"($161,634)","$510,000","$53,878",-,-,-,-,-,-,table_active,2015
Beau Allen,DT,24,"$525,562",0.37%,"($46,686)","$510,000","$15,562",-,-,-,-,-,-,table_active,2015
Thaddeus Lewis,QB,28,"$516,176",0.36%,-,"$657,352",-,-,-,-,-,-,-,table_active,2015
Najee Goode,OLB,26,"$516,176",0.36%,-,"$516,176",-,-,-,-,-,-,-,table_active,2015
Trey Burton,TE,24,"$512,500",0.36%,"($5,000)","$510,000","$2,500",-,-,-,-,-,-,table_active,2015
Kenjon Barner,RB,26,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Caleb Sturgis,K,26,"$481,764",0.34%,-,"$481,764",-,-,-,-,-,-,-,table_active,2015
Josh Andrews,C,24,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Denzel Rice,CB,22,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Tanner Hawkinson,G,25,"$412,941",0.29%,-,"$412,941",-,-,-,-,-,-,-,table_active,2015
Jaylen Watkins,S,24,"$180,000",0.13%,-,"$180,000",-,-,-,-,-,-,-,table_active,2015
Ed Reynolds,FS,24,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
Barrett Jones,G,25,"$172,058",0.12%,-,"$172,058",-,-,-,-,-,-,-,table_active,2015
Jonathan Krause,WR,23,"$153,529",0.11%,-,"$153,529",-,-,-,-,-,-,-,table_active,2015
Steven Means,DE,25,"$120,000",0.08%,-,"$120,000",-,-,-,-,-,-,-,table_active,2015
