Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Ben Roethlisberger,QB,33,"$17,245,000",12.04%,"($37,795,000)","$1,000,000","$6,200,000",-,"$3,250,000",-,-,"$6,795,000",-,table_active,2015
Lawrence Timmons,ILB,29,"$9,251,250",6.46%,"($14,762,500)","$870,000","$2,000,000",-,-,-,-,"$6,381,250",-,table_active,2015
Antonio Brown,WR,27,"$7,120,833",4.97%,"($16,662,499)","$1,000,000","$1,700,000",-,-,-,-,"$4,420,833",-,table_active,2015
Cameron Heyward,DT,26,"$6,400,000",4.47%,"($15,000,000)","$1,000,000","$2,400,000",-,"$3,000,000",-,-,-,-,table_active,2015
Heath Miller,TE,33,"$4,151,666",2.90%,"($6,363,334)","$970,000","$1,666,666",-,-,-,-,"$1,515,000",-,table_active,2015
Marcus Gilbert,RT,27,"$3,256,000",2.27%,"($10,825,000)","$745,000","$1,530,000",-,-,-,"$50,000","$931,000",-,table_active,2015
Steve McLendon,DT,29,"$2,808,334",1.96%,"($558,334)","$2,250,000","$558,334",-,-,-,-,-,-,table_active,2015
Mike Mitchell,FS,28,"$2,508,750",1.75%,"($7,055,000)","$745,000","$950,000",-,-,-,-,"$813,750",-,table_active,2015
Cam Thomas,DT,29,"$2,500,000",1.74%,"($500,000)","$2,000,000","$500,000",-,-,-,-,-,-,table_active,2015
David DeCastro,G,25,"$2,486,240",1.74%,"($1,130,709)","$1,030,531","$1,030,709",-,"$325,000",-,"$100,000",-,-,table_active,2015
Jarvis Jones,OLB,26,"$2,374,228",1.66%,"($5,144,161)","$1,196,410","$1,177,818",-,-,-,-,-,-,table_active,2015
Ryan Shazier,ILB,23,"$2,160,730",1.51%,"($7,778,628)","$852,146","$1,308,584",-,-,-,-,-,-,table_active,2015
Ramon Foster,G,29,"$2,150,000",1.50%,"($300,000)","$1,850,000","$300,000",-,-,-,-,-,-,table_active,2015
Bud Dupree,OLB,22,"$1,676,778",1.17%,"($8,631,570)","$435,000","$1,241,778",-,-,-,-,-,-,table_active,2015
William Gay,CB,30,"$1,666,668",1.16%,"($166,668)","$1,500,000","$166,668",-,-,-,-,-,-,table_active,2015
Antwon Blake,CB,25,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Brandon Boykin,CB,25,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Robert Golden,FS,25,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Will Johnson,FB,27,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Arthur Moats,OLB,27,"$1,483,333",1.04%,"($1,900,000)","$850,000","$633,333",-,-,-,-,-,-,table_active,2015
DeAngelo Williams,RB,32,"$1,435,000",1.00%,"($1,130,000)","$870,000","$565,000",-,-,-,-,-,-,table_active,2015
Cody Wallace,C,31,"$1,250,000",0.87%,"($300,000)","$1,100,000","$150,000",-,-,-,-,-,-,table_active,2015
James Harrison,OLB,37,"$1,250,000",0.87%,"($500,000)","$1,000,000","$250,000",-,-,-,-,-,-,table_active,2015
Matt Spaeth,TE,32,"$1,062,500",0.74%,"($275,000)","$925,000","$137,500",-,-,-,-,-,-,table_active,2015
Stephon Tuitt,DE,22,"$1,047,601",0.73%,"($1,883,763)","$629,520","$418,081",-,-,-,-,-,-,table_active,2015
Sean Spence,ILB,26,"$816,345",0.57%,"($136,345)","$680,000","$136,345",-,-,-,-,-,-,table_active,2015
Markus Wheaton,WR,24,"$752,844",0.53%,"($295,688)","$605,000","$147,844",-,-,-,-,-,-,table_active,2015
Shamarko Thomas,SS,24,"$698,288",0.49%,"($226,576)","$585,000","$113,288",-,-,-,-,-,-,table_active,2015
Landry Jones,QB,26,"$694,805",0.48%,"($219,610)","$585,000","$109,805",-,-,-,-,-,-,table_active,2015
Will Allen,SS,33,"$665,000",0.46%,"($80,000)","$970,000","$80,000",-,-,-,-,-,-,table_active,2015
Greg Warren,LS,34,"$665,000",0.46%,"($80,000)","$970,000","$80,000",-,-,-,-,-,-,table_active,2015
Darrius Heyward-Bey,WR,28,"$665,000",0.46%,"($80,000)","$745,000","$80,000",-,-,-,-,-,-,table_active,2015
Vince Williams,ILB,26,"$604,670",0.42%,"($39,340)","$585,000","$19,670",-,-,-,-,-,-,table_active,2015
Sammie Coates,WR,22,"$592,878",0.41%,"($631,515)","$435,000","$157,878",-,-,-,-,-,-,table_active,2015
Michael Vick,QB,35,"$585,000",0.41%,-,"$970,000",-,-,-,-,-,-,-,table_active,2015
Doug Legursky,C,29,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Jordan Todman,RB,25,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Terence Garvin,ILB,24,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Daniel McCullers,DT,23,"$529,670",0.37%,"($59,010)","$510,000","$19,670",-,-,-,-,-,-,table_active,2015
Chris Hubbard,RT,24,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Martavis Bryant,WR,24,"$499,805",0.35%,"($329,415)","$390,000","$109,805",-,-,-,-,-,-,table_active,2015
Jesse James,TE,21,"$487,228",0.34%,"($208,912)","$435,000","$52,228",-,-,-,-,-,-,table_active,2015
Leterrius Walton,DE,23,"$464,232",0.32%,"($116,930)","$435,000","$29,232",-,-,-,-,-,-,table_active,2015
Jordan Berry,P,24,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Ross Cockrell,CB,24,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Alejandro Villanueva,LT,27,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Byron Stingily,RT,27,"$427,058",0.30%,-,"$427,058",-,-,-,-,-,-,-,table_active,2015
Anthony Chickillo,OLB,23,"$358,235",0.25%,-,"$358,235",-,-,-,-,-,-,-,table_active,2015
Chris Boswell,K,24,"$332,647",0.23%,-,"$332,647",-,-,-,-,-,-,-,table_active,2015
Doran Grant,CB,23,"$230,294",0.16%,-,"$230,294",-,-,-,-,-,-,-,table_active,2015
Fitz Toussaint,RB,25,"$180,000",0.13%,-,"$180,000",-,-,-,-,-,-,-,table_active,2015
Ross Ventrone,SS,29,"$34,411",0.02%,-,"$34,411",-,-,-,-,-,-,-,table_active,2015
L.J. Fort,ILB,25,"$25,588",0.02%,-,"$25,588",-,-,-,-,-,-,-,table_active,2015
Cortez Allen,CB,27,"$6,981,000",4.87%,"($8,400,000)","$2,631,000","$1,350,000",-,"$3,000,000",-,-,-,-,table_injured,2015
Maurkice Pouncey,C,26,"$4,296,000",3.00%,"($15,155,000)","$745,000","$2,600,000",-,-,-,-,"$951,000",-,table_injured,2015
Shaun Suisham,K,34,"$2,066,000",1.44%,"($2,280,000)","$463,000","$570,000",-,"$500,000",-,-,"$533,000",-,table_injured,2015
Bruce Gradkowski,QB,32,"$1,833,334",1.28%,"($283,334)","$1,550,000","$283,334",-,-,-,-,-,-,table_injured,2015
Kelvin Beachum,LT,26,"$1,553,474",1.08%,"($11,474)","$1,542,000","$11,474",-,-,-,-,-,-,table_injured,2015
Le'Veon Bell,RB,23,"$1,032,082",0.72%,"($688,400)","$687,882","$344,200",-,-,-,-,-,-,table_injured,2015
Clifton Geathers,DE,28,"$665,000",0.46%,"($80,000)","$745,000","$80,000",-,-,-,-,-,-,table_injured,2015
Senquez Golson,CB,22,"$610,462",0.43%,"($1,786,713)","$318,000","$292,462",-,-,-,-,-,-,table_injured,2015
David Nelson,WR,29,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_injured,2015
Roosevelt Nix,FB,23,"$428,117",0.30%,-,"$428,117",-,-,-,-,-,-,-,table_injured,2015
