Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Navorro Bowman,ILB,27,"$7,654,000",5.34%,"($8,016,000)","$4,700,000","$1,500,000",-,-,"$800,000",-,"$654,000",-,table_active,2015
Joe Staley,LT,31,"$7,600,000",5.30%,"($11,200,000)","$4,500,000",-,-,"$500,000",-,"$200,000","$2,400,000",-,table_active,2015
Ahmad Brooks,OLB,31,"$7,055,000",4.92%,"($5,646,250)","$3,500,000","$1,500,000",-,"$1,106,250",-,"$100,000","$848,750",-,table_active,2015
Anquan Boldin,WR,35,"$6,909,000",4.82%,"($6,636,000)","$5,500,000","$909,000",-,"$500,000",-,-,-,-,table_active,2015
Phil Dawson,K,40,"$4,134,000",2.89%,"($1,500,000)","$3,134,000","$1,000,000",-,-,-,-,-,-,table_active,2015
Torrey Smith,WR,26,"$3,600,000",2.51%,"($9,500,000)","$750,000","$1,600,000",-,"$500,000",-,"$750,000",-,-,table_active,2015
Erik Pears,RT,33,"$3,350,000",2.34%,"($1,250,000)","$1,450,000","$250,000",-,"$400,000",-,"$250,000",-,"$1,000,000",table_active,2015
Tramaine Brock,CB,27,"$2,790,000",1.95%,"($4,100,000)","$1,850,000","$750,000",-,"$60,000",-,"$130,000",-,-,table_active,2015
Eric Reid,SS,24,"$2,312,931",1.61%,"($5,011,350)","$1,175,976","$1,136,955",-,-,-,-,-,-,table_active,2015
Daniel Kilgore,C,28,"$1,875,000",1.31%,"($1,612,500)","$800,000","$337,500",-,"$687,500",-,-,-,"$50,000",table_active,2015
Arik Armstead,DE,22,"$1,789,569",1.25%,"($9,842,630)","$435,000","$1,354,569",-,-,-,-,-,-,table_active,2015
Blaine Gabbert,QB,26,"$1,750,000",1.22%,"($550,000)","$1,450,000","$250,000",-,-,-,"$50,000",-,-,table_active,2015
Bruce Miller,FB,28,"$1,746,500",1.22%,"($2,198,500)","$1,100,000","$446,500",-,"$160,000",-,"$40,000",-,-,table_active,2015
Jimmie Ward,FS,24,"$1,616,485",1.13%,"($4,429,455)","$743,297","$873,188",-,-,-,-,-,-,table_active,2015
Ian Williams,DT,26,"$1,495,834",1.04%,"($383,334)","$1,000,000","$333,334",-,"$112,500",-,"$50,000",-,-,table_active,2015
Cornellius Carradine,DE,25,"$1,349,367",0.94%,"($1,039,156)","$804,789","$494,578",-,-,-,"$50,000",-,-,table_active,2015
Nick Bellore,ILB,26,"$1,170,000",0.82%,"($110,000)","$750,000","$15,000",-,"$20,000",-,"$80,000",-,"$305,000",table_active,2015
Vance McDonald,TE,25,"$981,594",0.69%,"($598,792)","$632,198","$249,396",-,-,-,"$100,000",-,-,table_active,2015
Jaquiski Tartt,FS,23,"$915,821",0.64%,"($2,587,239)","$435,000","$480,821",-,-,-,-,-,-,table_active,2015
Kyle Nelson,LS,29,"$810,000",0.57%,"($600,000)","$660,000","$150,000",-,-,-,-,-,-,table_active,2015
Corey Lemonier,OLB,24,"$730,880",0.51%,"($271,760)","$595,000","$135,880",-,-,-,-,-,-,table_active,2015
Marcus Martin,G,22,"$712,812",0.50%,"($523,436)","$525,000","$167,812",-,-,-,"$20,000",-,-,table_active,2015
Quinton Patton,WR,25,"$682,875",0.48%,"($195,750)","$585,000","$97,875",-,-,-,-,-,-,table_active,2015
Brandon Thomas,G,24,"$636,504",0.44%,"($379,512)","$510,000","$126,504",-,-,-,-,-,-,table_active,2015
Quinton Dial,DT,25,"$630,413",0.44%,"($90,826)","$585,000","$45,413",-,-,-,-,-,-,table_active,2015
Bruce Ellington,WR,24,"$628,607",0.44%,"($355,821)","$510,000","$118,607",-,-,-,-,-,-,table_active,2015
Dontae Johnson,CB,24,"$610,136",0.43%,"($300,408)","$510,000","$100,136",-,-,-,-,-,-,table_active,2015
Eli Harold,OLB,21,"$609,343",0.43%,"($712,373)","$435,000","$174,343",-,-,-,-,-,-,table_active,2015
Tony Jerod-Eddie,DE,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Blake Bell,TE,24,"$561,283",0.39%,"($505,132)","$435,000","$126,283",-,-,-,-,-,-,table_active,2015
Aaron Lynch,DE,22,"$559,500",0.39%,"($148,500)","$510,000","$49,500",-,-,-,-,-,-,table_active,2015
Jerome Simpson,WR,29,"$532,058",0.37%,"($50,000)","$482,058",-,-,-,-,"$50,000",-,-,table_active,2015
Jordan Devey,G,27,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Bradley Pinion,P,21,"$483,550",0.34%,"($194,200)","$435,000","$48,550",-,-,-,-,-,-,table_active,2015
