Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Richard Sherman,CB,27,"$12,200,000",8.51%,"($18,800,000)","$10,000,000","$2,200,000",-,-,-,-,-,-,table_active,2015
Marshawn Lynch,RB,29,"$8,500,000",5.93%,"($13,500,000)","$4,500,000","$4,000,000",-,-,-,-,-,-,table_active,2015
Cliff Avril,DE,29,"$8,000,000",5.58%,"($9,500,000)","$7,500,000","$500,000",-,-,-,-,-,-,table_active,2015
Michael Bennett,DE,30,"$8,000,000",5.58%,"($12,000,000)","$6,000,000","$2,000,000",-,-,-,-,-,-,table_active,2015
Earl Thomas,FS,26,"$7,400,000",5.16%,"($13,100,000)","$5,500,000","$1,900,000",-,-,-,-,-,-,table_active,2015
Russell Okung,LT,27,"$7,280,000",5.08%,"($2,480,000)","$4,800,000","$280,000",-,-,"$2,000,000","$200,000",-,-,table_active,2015
Russell Wilson,QB,27,"$7,054,868",4.92%,"($31,854,868)","$700,000","$6,354,868",-,-,-,-,-,-,table_active,2015
Brandon Mebane,DT,30,"$5,700,000",3.98%,"($200,000)","$5,500,000","$200,000",-,-,-,-,-,-,table_active,2015
Kam Chancellor,SS,27,"$5,119,117",3.57%,"($7,019,117)","$4,019,117","$1,000,000",-,-,-,-,-,"$100,000",table_active,2015
K.J. Wright,OLB,26,"$4,750,000",3.32%,"($7,750,000)","$3,750,000","$1,000,000",-,-,-,-,-,-,table_active,2015
Doug Baldwin,WR,27,"$4,650,000",3.25%,"($5,500,000)","$2,800,000","$1,600,000",-,-,-,-,-,"$250,000",table_active,2015
Steven Hauschka,K,30,"$3,325,000",2.32%,"($1,650,000)","$2,000,000","$825,000",-,"$500,000",-,-,-,-,table_active,2015
Bobby Wagner,ILB,25,"$2,970,663",2.07%,"($20,370,663)","$977,427","$1,993,236",-,-,-,-,-,-,table_active,2015
Bruce Irvin,OLB,28,"$2,895,542",2.02%,"($1,231,607)","$1,663,935","$1,231,607",-,-,-,-,-,-,table_active,2015
Ahtyba Rubin,DT,29,"$2,600,000",1.81%,"($1,000,000)","$1,350,000","$1,000,000",-,"$250,000",-,-,-,-,table_active,2015
