Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Gerald McCoy,DT,27,"$14,595,000",10.19%,"($22,095,000)","$5,000,000","$1,100,000",-,"$6,500,000","$1,995,000",-,-,-,table_active,2015
Logan Mankins,G,33,"$7,000,000",4.89%,"($250,000)","$6,750,000",-,-,-,-,"$250,000",-,-,table_active,2015
Lavonte David,OLB,25,"$6,104,642",4.26%,"($25,922,642)","$738,418","$241,224",-,"$5,000,000",-,"$125,000",-,-,table_active,2015
Jameis Winston,QB,21,"$4,609,323",3.22%,"($25,351,277)","$435,000","$4,174,323",-,-,-,-,-,-,table_active,2015
Alterraun Verner,CB,27,"$4,250,000",2.97%,"($4,000,000)","$4,250,000",-,-,-,-,-,-,-,table_active,2015
Bruce Carter,ILB,27,"$4,250,000",2.97%,"($4,250,000)","$3,000,000",-,-,"$1,250,000",-,-,-,-,table_active,2015
Evan Smith,C,29,"$3,750,000",2.62%,"($3,750,000)","$3,750,000",-,-,-,-,-,-,-,table_active,2015
Henry Melton,DT,29,"$3,750,000",2.62%,"($3,250,000)","$2,250,000","$1,000,000",-,"$500,000",-,-,-,-,table_active,2015
Mike Evans,WR,22,"$3,325,341",2.32%,"($11,971,229)","$510,000","$2,240,273",-,"$575,068",-,-,-,-,table_active,2015
George Johnson,DE,28,"$2,750,000",1.92%,"($2,750,000)","$750,000",-,-,"$2,000,000",-,-,-,-,table_active,2015
Demar Dotson,RT,30,"$2,500,000",1.74%,-,"$2,500,000",-,-,-,-,-,-,-,table_active,2015
Gosder Cherilus,RT,31,"$2,500,000",1.74%,-,"$1,500,000",-,-,"$1,000,000",-,-,-,-,table_active,2015
Doug Martin,RB,26,"$2,159,668",1.51%,"($844,096)","$1,315,572","$844,096",-,-,-,-,-,-,table_active,2015
Bobby Rainey,RB,28,"$1,542,000",1.08%,-,"$1,542,000",-,-,-,-,-,-,-,table_active,2015
Sterling Moore,CB,25,"$1,525,000",1.06%,-,"$875,000",-,-,"$650,000",-,-,-,-,table_active,2015
Tony McDaniel,DT,30,"$1,500,000",1.05%,"($500,000)","$1,000,000","$500,000",-,-,-,-,-,-,table_active,2015
Luke Stocker,TE,27,"$1,500,000",1.05%,"($500,000)","$1,000,000",-,-,"$500,000",-,-,-,-,table_active,2015
Johnthan Banks,CB,26,"$1,288,997",0.90%,"($908,662)","$834,666","$454,331",-,-,-,-,-,-,table_active,2015
Joe Hawley,C,27,"$1,250,000",0.87%,"($1,250,000)","$1,328,125",-,-,-,-,-,-,-,table_active,2015
Austin Seferian-Jenkins,TE,23,"$1,194,301",0.83%,"($2,265,181)","$658,861","$535,440",-,-,-,-,-,-,table_active,2015
Brandon Myers,TE,30,"$1,166,666",0.81%,"($333,334)","$1,000,000","$166,666",-,-,-,-,-,-,table_active,2015
Donovan Smith,LT,22,"$1,103,429",0.77%,"($3,899,042)","$435,000","$668,429",-,-,-,-,-,-,table_active,2015
Mike Glennon,QB,26,"$846,563",0.59%,"($318,750)","$687,188","$159,375",-,-,-,-,-,-,table_active,2015
Mike Jenkins,CB,30,"$825,000",0.58%,"($80,000)","$745,000",-,-,"$80,000",-,-,-,-,table_active,2015
Charles Sims,RB,25,"$726,023",0.51%,"($528,069)","$540,000","$171,023",-,-,-,"$15,000",-,-,table_active,2015
Keith Tandy,FS,26,"$690,150",0.48%,"($30,150)","$660,000","$30,150",-,-,-,-,-,-,table_active,2015
Ali Marpet,C,22,"$686,106",0.48%,"($1,004,424)","$435,000","$251,106",-,-,-,-,-,-,table_active,2015
William Gholston,DE,24,"$685,136",0.48%,"($200,272)","$585,000","$100,136",-,-,-,-,-,-,table_active,2015
Danny Lansanah,ILB,30,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_active,2015
