Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Michael Griffin,FS,30,"$8,100,000",5.65%,"($3,600,000)","$6,300,000","$1,800,000",-,-,-,-,-,-,table_active,2015
Jurrell Casey,DT,26,"$6,720,000",4.69%,"($13,080,000)","$4,500,000","$2,120,000",-,-,-,"$100,000",-,-,table_active,2015
Delanie Walker,TE,31,"$5,275,000",3.68%,"($1,900,000)","$4,275,000","$900,000",-,-,-,"$100,000",-,-,table_active,2015
Sammie Lee Hill,DT,29,"$4,666,668",3.26%,"($766,668)","$3,800,000","$666,668",-,"$100,000",-,"$100,000",-,-,table_active,2015
Brian Orakpo,OLB,29,"$4,468,750",3.12%,"($8,000,000)","$3,000,000","$1,250,000",-,"$218,750",-,-,-,-,table_active,2015
Marcus Mariota,QB,22,"$4,402,541",3.07%,"($24,213,976)","$435,000","$3,967,541",-,-,-,-,-,-,table_active,2015
Da'Norris Searcy,SS,27,"$3,625,000",2.53%,"($7,000,000)","$2,500,000","$1,125,000",-,-,-,-,-,-,table_active,2015
Ropati Pitoitua,DE,30,"$3,612,500",2.52%,"($2,050,000)","$2,100,000","$725,000",-,"$787,500",-,-,-,-,table_active,2015
Wesley Woodyard,ILB,29,"$3,500,000",2.44%,"($2,250,000)","$2,750,000","$750,000",-,-,-,-,-,-,table_active,2015
Perrish Cox,CB,28,"$3,333,333",2.33%,"($2,500,000)","$2,500,000","$833,333",-,-,-,-,-,-,table_active,2015
Chance Warmack,G,24,"$3,318,177",2.32%,"($7,189,381)","$585,000","$1,807,118",-,"$926,059",-,-,-,-,table_active,2015
Kendall Wright,WR,26,"$2,614,962",1.83%,"($1,988,264)","$884,000","$1,104,264",-,"$626,698",-,-,-,-,table_active,2015
Taylor Lewan,LT,24,"$2,610,228",1.82%,"($9,396,821)","$942,045","$1,668,183",-,-,-,-,-,-,table_active,2015
Al Woods,DT,28,"$2,600,000",1.81%,"($500,000)","$2,100,000","$500,000",-,-,-,-,-,-,table_active,2015
Harry Douglas,WR,30,"$2,283,333",1.59%,"($3,750,000)","$1,550,000","$733,333",-,-,-,-,-,-,table_active,2015
Craig Stevens,TE,31,"$2,270,000",1.58%,"($1,350,000)","$1,120,000","$1,000,000",-,-,-,-,-,"$150,000",table_active,2015
Anthony Fasano,TE,31,"$2,031,250",1.42%,"($1,125,000)","$1,000,000","$562,500",-,"$468,750",-,-,-,-,table_active,2015
Brett Kern,P,29,"$2,000,000",1.40%,"($5,000,000)","$1,500,000","$500,000",-,-,-,-,-,-,table_active,2015
Ryan Succop,K,29,"$1,916,666",1.34%,"($2,750,000)","$1,500,000","$416,666",-,-,-,-,-,-,table_active,2015
Coty Sensabaugh,CB,27,"$1,650,023",1.15%,"($108,023)","$1,542,000","$108,023",-,-,-,-,-,-,table_active,2015
Karl Klug,DT,27,"$1,500,000",1.05%,"($1,000,000)","$1,000,000","$500,000",-,-,-,-,-,-,table_active,2015
Byron Bell,RT,26,"$1,475,000",1.03%,"($250,000)","$1,000,000","$100,000",-,"$375,000",-,-,-,-,table_active,2015
Zach Brown,ILB,26,"$1,227,640",0.86%,"($311,509)","$916,131","$311,509",-,-,-,-,-,-,table_active,2015
Dorial Green-Beckham,WR,22,"$1,018,836",0.71%,"($3,025,053)","$435,000","$583,836",-,-,-,-,-,-,table_active,2015
Bishop Sankey,RB,23,"$873,522",0.61%,"($1,431,158)","$594,704","$278,818",-,-,-,-,-,-,table_active,2015
Beau Brinkley,LS,25,"$828,000",0.58%,"($840,000)","$660,000","$168,000",-,-,-,-,-,-,table_active,2015
Blidi Wreh-Wilson,CB,26,"$789,416",0.55%,"($328,162)","$625,335","$164,081",-,-,-,-,-,-,table_active,2015
Jamon Meredith,RT,29,"$745,000",0.52%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Steven Johnson,ILB,27,"$685,000",0.48%,-,"$660,000",-,-,"$25,000",-,-,-,-,table_active,2015
Jeremiah Poutasi,RT,21,"$635,564",0.44%,"($802,259)","$435,000","$200,564",-,-,-,-,-,-,table_active,2015
DaQuan Jones,DE,24,"$623,850",0.44%,"($341,550)","$510,000","$113,850",-,-,-,-,-,-,table_active,2015
Marqueston Huff,FS,23,"$616,301",0.43%,"($318,903)","$510,000","$106,301",-,-,-,-,-,-,table_active,2015
Daimion Stafford,SS,24,"$596,474",0.42%,"($22,948)","$585,000","$11,474",-,-,-,-,-,-,table_active,2015
David Bass,DE,25,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Angelo Blackson,DE,23,"$577,903",0.40%,"($571,615)","$435,000","$142,903",-,-,-,-,-,-,table_active,2015
Jalston Fowler,FB,25,"$569,429",0.40%,"($537,716)","$435,000","$134,429",-,-,-,-,-,-,table_active,2015
Avery Williamson,ILB,23,"$558,613",0.39%,"($145,839)","$510,000","$48,613",-,-,-,-,-,-,table_active,2015
Zach Mettenberger,QB,24,"$541,279",0.38%,"($93,837)","$510,000","$31,279",-,-,-,-,-,-,table_active,2015
Antonio Andrews,RB,23,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Phillip Supernaw,TE,25,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
David Cobb,RB,22,"$496,417",0.35%,"($245,668)","$435,000","$61,417",-,-,-,-,-,-,table_active,2015
Andy Gallik,C,24,"$460,368",0.32%,"($101,473)","$435,000","$25,368",-,-,-,-,-,-,table_active,2015
Cody Riggs,CB,24,"$437,333",0.31%,"($7,000)","$435,000","$2,333",-,-,-,-,-,-,table_active,2015
Quinton Spain,G,24,"$437,000",0.31%,"($6,000)","$435,000","$2,000",-,-,-,-,-,-,table_active,2015
Joe Looney,G,25,"$427,058",0.30%,-,"$427,058",-,-,-,-,-,-,-,table_active,2015
Justin Staples,OLB,26,"$360,000",0.25%,-,"$360,000",-,-,-,-,-,-,-,table_active,2015
Brandon Harris,CB,25,"$348,000",0.24%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
B.W. Webb,CB,25,"$309,705",0.22%,-,"$309,705",-,-,-,-,-,-,-,table_active,2015
Tre McBride,WR,23,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
Andrew Turzilli,WR,24,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
Damaris Johnson,WR,26,"$116,470",0.08%,-,"$116,470",-,-,-,-,-,-,-,table_active,2015
Josh Aubrey,SS,24,"$103,235",0.07%,-,"$103,235",-,-,-,-,-,-,-,table_active,2015
J.R. Tavai,DT,22,"$102,352",0.07%,-,"$102,352",-,-,-,-,-,-,-,table_active,2015
Alex Tanney,QB,28,"$51,176",0.04%,-,"$51,176",-,-,-,-,-,-,-,table_active,2015
Jason McCourty,CB,28,"$8,600,000",6.00%,"($3,600,000)","$6,800,000","$1,800,000",-,-,-,-,-,-,table_injured,2015
Derrick Morgan,OLB,29,"$4,000,000",2.79%,"($8,500,000)","$2,500,000","$1,500,000",-,-,-,-,-,-,table_injured,2015
Dexter McCluster,RB,27,"$3,350,000",2.34%,"($2,000,000)","$2,350,000","$1,000,000",-,-,-,-,-,-,table_injured,2015
Justin Hunter,WR,24,"$1,479,313",1.03%,"($1,622,418)","$898,104","$581,209",-,-,-,-,-,-,table_injured,2015
Mike Martin,DT,25,"$821,890",0.57%,"($141,890)","$680,000","$141,890",-,-,-,-,-,-,table_injured,2015
Dorin Dickerson,TE,27,"$660,000",0.46%,-,"$660,000",-,-,-,-,-,-,-,table_injured,2015
Brian Schwenke,C,24,"$547,712",0.38%,"($232,130)","$431,647","$116,065",-,-,-,-,-,-,table_injured,2015
Deiontrez Mount,OLB,22,"$389,449",0.27%,"($148,152)","$352,411","$37,038",-,-,-,-,-,-,table_injured,2015
