Team,Year,2022 Rollover Cap,2023 NFL Salary Cap,Active Roster,Adjusted Salary Cap,Adjustment,Cap Space,Dead Money,Exempt/Commissioner’s Permission List,Injured Reserve,Non-Football Injury,Practice Squad,Reserve/PUP,Reserve/Suspended,Total Allocations
arizona-cardinals,2023,"$882,491","$224,800,000","$107,322,872","$229,299,541","$3,617,050","$11,175,765","$69,784,194",,"$39,445,510",,"$1,571,200",,,"$218,123,776"
atlanta-falcons,2023,"$5,011,209","$224,800,000","$163,895,473","$230,369,667","$558,458","$7,730,237","$25,649,790",,"$30,465,567",,"$2,628,600",,,"$222,639,430"
baltimore-ravens,2023,"$1,395,783","$224,800,000","$175,622,212","$223,611,885","$-2,583,898","$1,049,714","$15,901,398",,"$25,672,133","$2,875,528","$2,490,900",,,"$222,562,171"
buffalo-bills,2023,"$2,189,084","$224,800,000","$182,016,009","$227,845,023","$855,939","$-792,453","$10,167,412",,"$29,730,155","$3,480,000","$3,243,900",,,"$228,637,476"
carolina-panthers,2023,"$10,752,279","$224,800,000","$136,455,085","$238,151,932","$2,599,653","$5,379,990","$62,169,404",,"$32,384,753",,"$1,762,700",,,"$232,771,942"
chicago-bears,2023,"$9,584,194","$224,800,000","$171,087,200","$232,438,856","$-1,945,338","$4,926,812","$36,737,468",,"$17,112,076",,"$2,575,300",,,"$227,512,044"
cincinnati-bengals,2023,"$2,498,443","$224,800,000","$170,878,346","$226,608,736","$-689,707","$10,766,741","$4,451,550",,"$37,661,299",,"$2,850,800",,,"$215,841,995"
cleveland-browns,2023,"$27,587,123","$224,800,000","$136,190,604","$251,771,834","$-615,289","$29,876,309","$23,468,987",,"$58,104,562","$1,627,072","$2,504,300",,,"$221,895,525"
dallas-cowboys,2023,"$3,922,477","$224,800,000","$185,500,694","$232,903,851","$4,181,374","$10,801,968","$20,451,431",,"$13,268,658",,"$2,881,100",,,"$222,101,883"
denver-broncos,2023,"$10,605,233","$224,800,000","$173,358,141","$232,903,851","$-2,501,382","$1,129,738","$33,296,145",,"$21,525,052","$731,108","$2,672,200",,"$191,467","$231,774,113"
detroit-lions,2023,"$2,223,156","$224,800,000","$173,331,167","$227,209,702","$186,546","$3,800,950","$32,092,641",,"$15,877,444",,"$2,107,500",,,"$223,408,752"
green-bay-packers,2023,"$1,612,380","$224,800,000","$120,689,913","$226,782,720","$370,340","$8,737,004","$67,234,462",,"$27,644,641",,"$2,476,700",,,"$218,045,716"
houston-texans,2023,"$1,009,266","$224,800,000","$142,196,787","$231,420,075","$5,610,809","$4,441,532","$47,419,666",,"$34,105,096","$833,594","$2,423,400",,,"$226,978,543"
indianapolis-colts,2023,"$6,654,875","$224,800,000","$150,648,067","$232,172,375","$717,500","$8,299,055","$51,418,290","$794,547","$17,856,383",,"$2,125,500",,"$1,030,533","$223,873,320"
jacksonville-jaguars,2023,"$2,405,876","$224,800,000","$194,030,338","$226,727,317","$-478,559","$8,947,864","$10,665,516","$1,035,596","$9,213,003",,"$2,835,000",,,"$217,779,453"
kansas-city-chiefs,2023,"$2,866,615","$224,800,000","$194,829,168","$220,447,793","$-7,218,822","$2,826,341","$12,295,967",,"$7,838,417",,"$2,657,900",,,"$217,621,452"
las-vegas-raiders,2023,"$6,680,133","$224,800,000","$155,882,148","$235,001,268","$3,521,135","$11,529,499","$57,853,191",,"$7,623,130",,"$2,113,300",,,"$223,471,769"
los-angeles-chargers,2023,"$2,620,966","$224,800,000","$132,544,014","$226,520,964","$-900,002","$8,006,038","$27,385,531",,"$43,497,781","$13,100,000","$1,987,600",,,"$218,514,926"
los-angeles-rams,2023,"$405,812","$224,800,000","$131,880,407","$224,868,312","$-337,500","$7,693,754","$79,381,937",,"$2,880,031","$624,783","$2,407,400",,,"$217,174,558"
miami-dolphins,2023,"$2,161,475","$224,800,000","$172,821,528","$225,711,595","$-1,249,880","$1,735,990","$20,351,028",,"$28,317,349",,"$2,485,700",,,"$223,975,605"
minnesota-vikings,2023,"$439,013","$224,800,000","$122,035,441","$221,697,003","$-3,542,010","$8,959,126","$46,177,305",,"$42,351,831","$221,000","$1,952,300",,,"$212,737,877"
new-england-patriots,2023,"$1,118,930","$224,800,000","$122,696,951","$222,380,248","$-3,538,682","$528,826","$31,235,322",,"$66,043,849",,"$1,875,300",,,"$221,851,422"
new-orleans-saints,2023,"$1,111,520","$224,800,000","$138,027,290","$224,161,167","$-1,750,353","$3,635,502","$35,175,167",,"$44,993,108",,"$2,330,100",,,"$220,525,665"
new-york-giants,2023,"$1,521,110","$224,800,000","$129,927,472","$229,620,553","$3,299,443","$6,182,522","$56,451,152",,"$33,503,891",,"$2,152,800","$1,402,716",,"$223,438,031"
new-york-jets,2023,"$3,192,622","$224,800,000","$143,977,333","$228,580,710","$588,088","$6,034,929","$29,031,325",,"$48,137,923",,"$1,399,200",,,"$222,545,781"
philadelphia-eagles,2023,"$5,433,472","$224,800,000","$160,037,713","$234,753,670","$4,520,198","$2,566,558","$63,868,823",,"$5,816,176",,"$2,464,400",,,"$232,187,112"
pittsburgh-steelers,2023,"$4,427,145","$224,800,000","$194,442,075","$229,227,145",$0,"$2,926,605","$21,164,554",,"$6,581,944",,"$2,195,300",,"$1,916,667","$226,300,540"
san-francisco-49ers,2023,"$5,238,795","$224,800,000","$154,932,685","$237,520,268","$7,481,473","$37,989,804","$33,313,374",,"$9,045,205",,"$2,239,200",,,"$199,530,464"
seattle-seahawks,2023,"$1,595,490","$224,800,000","$165,990,770","$222,105,490","$-4,290,000","$7,127,512","$23,397,380",,"$19,910,828",,"$2,004,000","$3,675,000",,"$214,977,978"
tampa-bay-buccaneers,2023,"$2,704,090","$224,800,000","$128,436,935","$227,432,813","$-71,277","$3,752,054","$81,574,757",,"$11,012,667",,"$2,656,400",,,"$223,680,759"
tennessee-titans,2023,"$1,845,439","$224,800,000","$128,983,277","$230,899,034","$4,253,595","$9,408,724","$58,841,771",,"$28,643,576",,"$1,341,100","$3,680,586",,"$221,490,310"
washington-commanders,2023,"$5,537,577","$224,800,000","$133,719,895","$231,251,900","$914,323","$12,093,648","$47,623,965",,"$36,075,654",,"$1,715,500",,"$23,238","$219,158,252"
