Team,Year,2023 Rollover Cap,2024 NFL Salary Cap,Active Roster,Adjusted Salary Cap,Adjustment,Cap Space,Dead Money,Injured Reserve,Non-Football Injury,Practice Squad,Reserve/PUP,Reserve/Suspended,Total Allocations
arizona-cardinals,2024,"$10,027,712","$255,400,000","$164,898,640","$270,502,961","$5,075,249","$12,815,867","$32,162,678","$58,612,976",,"$2,012,800",,,"$257,687,094"
atlanta-falcons,2024,"$4,621,311","$255,400,000","$219,836,480","$260,021,446",$135,"$6,461,421","$15,187,366","$15,614,779",,"$2,451,400","$470,000",,"$253,560,025"
baltimore-ravens,2024,"$2,137,903","$255,400,000","$219,432,580","$253,760,394","$-3,777,509","$1,890,784","$23,109,416","$5,929,914",,"$3,397,700",,,"$251,869,610"
buffalo-bills,2024,"$1,538,939","$255,400,000","$175,102,731","$256,619,417","$-319,522","$557,824","$75,053,004","$2,071,327",,"$2,700,600","$1,133,931",,"$256,061,593"
carolina-panthers,2024,"$3,762,600","$255,400,000","$147,641,087","$260,501,073","$1,338,473","$-862,719","$73,242,553","$34,078,973","$1,250,679","$1,525,500","$3,625,000",,"$261,363,792"
chicago-bears,2024,"$3,489,215","$255,400,000","$204,948,258","$260,139,223","$1,250,008","$5,419,854","$30,383,725","$16,982,678",,"$2,404,708",,,"$254,719,369"
cincinnati-bengals,2024,"$9,327,421","$255,400,000","$185,741,962","$265,415,688","$688,267","$6,093,862","$13,021,226","$46,348,956","$11,705,882","$2,503,800",,,"$259,321,826"
cleveland-browns,2024,"$31,245,505","$255,400,000","$130,535,406","$290,751,979","$4,106,474","$42,042,763","$42,497,245","$72,900,265","$1,370,000","$1,406,300",,,"$248,709,216"
dallas-cowboys,2024,"$4,902,388","$255,400,000","$97,500,830","$260,465,035","$162,647","$20,050,038","$29,661,014","$110,943,953",,"$2,309,200",,,"$240,414,997"
denver-broncos,2024,"$1,476,877","$255,400,000","$150,535,729","$258,240,266","$1,363,389","$6,100,773","$89,083,362","$8,630,838",,"$2,821,300","$1,068,264",,"$252,139,493"
detroit-lions,2024,"$2,436,464","$255,400,000","$151,659,744","$258,073,564","$237,100","$23,638,725","$39,256,611","$39,226,567","$2,169,117","$2,122,800",,,"$234,434,839"
green-bay-packers,2024,"$6,754,001","$255,400,000","$154,542,400","$267,715,177","$5,561,176","$16,128,199","$64,574,213","$29,678,165",,"$2,792,200",,,"$251,586,978"
